owner,repo,etag
bchiang7,v4,"W/""b5c6dce6e5546b0b0466bcef21d8aee02fc483f6ed449a8e0c7f1b4910c77960"""
emmabostian,developer-portfolios,"W/""71ac9f34bf0bbe909b2358e93c5f27b195751a20942160a00fc5c30448ffa292"""
LimaRAF,plantR,"W/""16fabfd24f12b9e46bdb749ec492b1fe1f6596a02c1fcc0de1107bea44b8343a"""
Model-R,modleR,"W/""19b2c62ed914bee6171c1c9875f4b3d16af03c04ff9847c8268d9a55dfc602fc"""
hollyschinsky,PushNotificationSample,"W/""5707cbec0ff70df2e40e684fb8f2b51c36c793b03f984eadaf39977148b846e5"""
cyanogen,uchroma,"W/""5d7ad02de59605e0a5d5cee533b9da784944bde3fa69a5429cca7ae31f5802e0"""
Lissy93,personal-security-checklist,"W/""500a413ae076615166ef12849df95a04b80295cd68a5d79188e41dfc61cbd4c0"""
Lissy93,dashy,"W/""e1b01f8d5ae945d044d7acf51d97160d29a8a9dd13614fc89e72d6103147815f"""
Lissy93,twitter-sentiment-visualisation,"W/""e73feb96bf9f03b4d218a4bf314a9247294f626ed32673f481726cc1805fb8b4"""
jpacsai,Memory_game,"W/""eea5b416c68e53747ec7b4b2d58365c4bd31d2ae6e6b48a5f15be0401b35cb24"""
k88hudson,git-flight-rules,"W/""c6a0db46a9755694570be1bd32eeb8cf7ca62d6ebcbda798328f9e9241e8dfb7"""
carpedm20,DCGAN-tensorflow,"W/""b7c566c70461b40dc6d67433c09feea141a1cdefcfa0f0d78b1a524b9dccb35a"""
carpedm20,emoji,"W/""a2ef9187f1b685bd369baa1d9e9cfcb44549b7dff0e737818c0f2da8c6cb67d2"""
sdras,night-owl-vscode-theme,"W/""70b204cb4b3506936b12473a60f1fad90bcf2a52a5a96d7442166854948574bb"""
xtaci,kcp-go,"W/""ebfadc7a0b5ba71f6cae0a979a87387143d38c6e21d56bafa728fe637f02d0b6"""
xtaci,kcptun,"W/""db26722f92ee2091ae2891900a604dde5e00f0129c5b0827314792f2ae6c91fb"""
xtaci,smux,"W/""9f50bdc46448d939b6b1edf258cd6d1071f2dd10df1810bbaad25a320268bf24"""
alyssaxuu,screenity,"W/""5e3989691210a3f8ee7b18c834c9d389a11e6d6949322687c7bf6454da621a90"""
alyssaxuu,flowy,"W/""465371a935f1759413be3e9d033ac1c7dfbdd8e5f9c011e4c8852c7a24c591d0"""
jessfraz,dockerfiles,"W/""70c9cfd43a796b2f6bf16a84626d4bee74f432e1df3d91ec98d8b3a485ae19ad"""
audreyfeldroy,cookiecutter-pypackage,"W/""6cc7fa67d49e81b5ed4188252a4886d993e9e84c8a7be526f86785a99fb2e8db"""
jlord,git-it-electron,"W/""a07b27504ee6bbde40eac9e23952118be8ac64a62b5bb59792d295e140bd9e81"""
jlord,sheetsee.js,"W/""b5f9fa4c5f86f34e7f73fac2cb311b7ba102f639758594debbc59ec9d30a0903"""
notwaldorf,tiny-care-terminal,"W/""1095608f7637ea5536288e95b666e622d119b278394d027a8ef507a0a4ca470a"""
una,CSSgram,"W/""a73085987f813b9a120cd688b9143016870ef3192bc84f06c139f9e488c93895"""
jart,cosmopolitan,"W/""933fa6bbd17094d03b5f702f3680ef0b26fcd8869e6874abc20382d44b4cca60"""
loiane,javascript-datastructures-algorithms,"W/""6efd191ecc0b93fe26ba9f00135131f6871d0facfa5ff24c141763c033449c67"""
audreyt,ethercalc,"W/""329f666513ae042f09f4d2e05efa85dafa14d4c98fae3d72b815a3917fdf4bf5"""
audreyt,node-webworker-threads,"W/""e926fb6df911647b6b57f7bfe5c77cd0320fabbe32f7e1e43a859ad2225be0e3"""
stubbornella,oocss,"W/""66035270c29fa4bb09d570f5b83a39557d350b4e17e8bba5b561d85bc0415cb9"""
lpereira,hardinfo,"W/""45b97ad69e83658d7f1ad00bd62639d99bf3bfab0ed5b402c45343f835128f4a"""
leahneukirchen,mblaze,"W/""bbc66ab43b688db4f44aade3dea3658281bae1199bde996dfd793b17a89b016f"""
zkat,miette,"W/""21ca9ea065350912c60ca7df312a81cc922204442e3e77a2d6f0614a2b745ff3"""
Armour,vue-typescript-admin-template,"W/""4313d64eff9466e6034ef40e418199c8d304226b0af5256aa4316dbdbc3bce41"""
fool2fish,dragon-book-exercise-answers,"W/""c246c6dbe739573cea44218bad72f730a79ae3b6566ab156e63fe4fd448f5749"""
olado,doT,"W/""0af4b54f55ac1e9c17450fc8581cb4196b27371e10bf5f304ee1fa10d3bdb4a0"""
soruly,trace.moe,"W/""97bcc81b0ec0a9318a73ad8ec45a2ad243d62d7c6022e448cea27a12a09c22da"""
jennybc,happy-git-with-r,"W/""2665e18aa9068511df9a163aaf1ff7feee27160bf0c8af7322109f2911809517"""
88250,lute,"W/""e54e7082f32af514d1cca05134034c6631978db491ea739e2f8450a2548c6b1f"""
88250,solo,"W/""309756276fe55ab89fb06be7d225e95134c4187097085a63dc8cb64a0a0823bb"""
REMitchell,python-scraping,"W/""28fa52a6d9d7d216a6fe5853b3930fa69b0d4bfe1227c4fcc8cd0550cdf8f31a"""
nihui,waifu2x-ncnn-vulkan,"W/""771cb0310bec2a143d2eae40cb165daafcbfacd24a9cd96d01b1abc7f874fdbb"""
Junnplus,blog,"W/""055e1c013ad6c5ed8a94cc0d41a1c8b1a91117d866d8eba4a35ce5b5635041a1"""
acgotaku,115,"W/""a8de419ffb6db873ffe4ba4f70a0d7c109d9752e0d47af7d725b986fa5daaf3c"""
acgotaku,BaiduExporter,"W/""eb8cf72e710f4274612f3451b676494fe23a1267566c9e3ea28232c0a8f2f8cb"""
mxriverlynn,Albacore,"W/""f6927e04324884c91bca8fdf370802cbbd86bfe60c825ae1790e0a3dee5fc9ec"""
zythum,mama2,"W/""fa6c743a7374cfde6e54339ea34d73176b6c229642c8443039af6d8369598d20"""
cbfinn,maml,"W/""c4c5ee7e871808c0f58b27ae661454ba06771a515f739e4fc5d28ba4d323bedf"""
cbfinn,gps,"W/""c8ca6959d3055f8e071d4bccc15023a641e6c2919ed98a4574304b33b29e3e9f"""
