owner_login,name,etag
bchiang7,v4,"W/""bd08952699b7702bfb6b5ab9fcd53da52dd9c35657e03b76d78b8d611d856ffd"""
emmabostian,developer-portfolios,"W/""5d306473636702b5abaac8d3713223336742b4cf8bfbde4e9cbbf06ac671ad6e"""
LimaRAF,plantR,"W/""1e3a3b517c9b4c66f187b977a5a361708e3c6dc89e95e8735061a1d216e84587"""
Model-R,modleR,"W/""6563f1ef17372f06a25e7f3ea17f386bfbb0b8474e16410da1eb921dc213ccd5"""
hollyschinsky,PushNotificationSample,"W/""a0c5976be7b9398cd01ded724ed2f6e31ebba5497524f4b9a17357d6e73dd71f"""
cyanogen,uchroma,"W/""15ae9931368345c7edfb17db7fa1cc84c90825dc62c97f4c13834f4b743c5e79"""
lissy93,personal-security-checklist,"W/""2d8babd2951b48849a5b0616987def21e0d40a1e80664f34e09a5cb0b138ef12"""
lissy93,dashy,"W/""2ef110c98ac56a7ea894f2097c43973e01fc411ed373bde4f7b0874d9ff18af6"""
lissy93,twitter-sentiment-visualisation,"W/""03a8867d45f7e9e35445fc6690df86f375bd5d42f91c9603db9d2cf08625d596"""
jpacsai,Memory_game,"W/""0338bbfcf88dfa94a066541a38e04bb02fbd73bb2c15300280fb2837348859ab"""
k88hudson,git-flight-rules,"W/""818a0bb37da7cbf3cf3a381f96890e817e3eacb47e855968a2c12b90c58aeccb"""
carpedm20,DCGAN-tensorflow,"W/""cc9c2de16a2f699d8906932370daa92e2b81bf278cd6482a54c44bd923149d67"""
carpedm20,emoji,"W/""22b4a565256d0a27f1bbd5a9db7ef2b227dd23f7f3a54ccd9ef59c7baa393f0c"""
sdras,night-owl-vscode-theme,"W/""ed1dd90b0357f4dcae1e6a005d0fdb3e8ee09db4b5b0b99ac9d871ee17f8b5fb"""
xtaci,kcp-go,"W/""af5dda43fb1627abd61c1f1d6742b702d35b843cf187df6073bbc7e3d56ccf2b"""
xtaci,kcptun,"W/""563d86278cafb0f8323166857e09cbd4b6bad5eda65884144fa6b3cc8f5b62dd"""
xtaci,smux,"W/""b6a63b8c34be27c583f43d271d121af21d473b23972a65e2021fb9e25596ae89"""
alyssaxuu,screenity,"W/""13d37954365d6012621d7b8dcdd7f5369a581f2e11b26174f420d928fdd65c6c"""
alyssaxuu,flowy,"W/""ba539f8774bd03d2704a27b7576e0cf74349c71bcde0740fa99fdcc681840ce8"""
jessfraz,dockerfiles,"W/""ab1acf20e2e4add4306d52b20590901d9d24e3591804a5116fe950a745698385"""
audreyfeldroy,cookiecutter-pypackage,"W/""799706b95db8cde246a8884772c408edbfe98ae63fac7c65ff38582b58cb8625"""
jlord,git-it-electron,"W/""bafe37012bf7dc7760b63284c9b2862e66e9f6263ce18d456f25e7affcbd238c"""
jlord,sheetsee.js,"W/""09e7abc475734f031d71db5b00932d4b91badbbfe738e389242b74fbfcc44ccd"""
notwaldorf,tiny-care-terminal,"W/""50ddef214d28cf59ecd048a1c6ad8103a865c39010f76aebe1befca5abf9e3a8"""
una,CSSgram,"W/""6b8f88a7c4a15e1208bbac7ddaec59d6da5a7d5a75ae06c121f712092b117b2d"""
jart,cosmopolitan,"W/""eb0819ef0e458e7fa366ad356095824a0d9c47baf7572635ab3666f7e791ed9c"""
loiane,javascript-datastructures-algorithms,"W/""02c8b795de8e8ac92bdb7751f8fb8fdc7a8fa1dc443192b20da4b65da45dec0e"""
audreyt,ethercalc,"W/""7c109017546cb89de7335c324fbd9264524d65329865f0de8167453a2874405d"""
audreyt,node-webworker-threads,"W/""73ba2afcdd33a733de517f6823a8cdb8810408f5e7216bace596453911b3027a"""
stubbornella,oocss,"W/""16d3d02aaced305f0ac52c8100887a4610b22fdc95f3624de61b28f9a7e4236a"""
lpereira,hardinfo,"W/""fc9e9ce35e2996c4f382109b0eab657098088923834f6c94a0cf5dc4908d580a"""
leahneukirchen,mblaze,"W/""70170ef50eaff20f765882641de59ae4cc07d9f3f3f3025e4b53282e23c51907"""
zkat,miette,"W/""a0e1e0492ecdb167deb7ed84f892174664ad61311fbb40feb98ef4ad1f8636c0"""
Armour,vue-typescript-admin-template,"W/""1964a7ac5128ecb5cac2db6e90368c16d614626d8f6240863b3eefeb488c553d"""
fool2fish,dragon-book-exercise-answers,"W/""796a3046f814e2cf55ee4e71a001d558b7eca16bea98e3b9dd1a2e611e22fdee"""
olado,doT,"W/""f1cb20d947602ff6ef7d8f0c0c4faf78ed8d09f49a3952066dcf77e2e2964592"""
soruly,trace.moe,"W/""3288bde88678a2bb3dd0ce178e49fded3ac8cf7424e8e02cbe9174c6cd2e5385"""
jennybc,happy-git-with-r,"W/""1c090df9b579de481673a021d973e0d5181d797190b31fffc039e11e8610a267"""
88250,lute,"W/""57ffed9e020089ada9ff751116e8ece891eb7f31eee1b2ecba1618dc83972650"""
88250,solo,"W/""ed2dbd27c7017e7ef126270a5ad76fd036c4895eacf6155fc9ca58df6998410a"""
REMitchell,python-scraping,"W/""c5b819b22c66c8f8ddb4007f6c20f1428ca41a6a3fa5b1876f4257e238d5437f"""
