owner,repo,etag
aadsm,jsmediatags,"W/""b22402dfcd839c6a70a9794e928a5f5c32f41fceca83fad7c386ba9b4d7fb7d4"""
aadsm,jschardet,"W/""72c7e6482244ac59cf2566dfcaf21ca3d3de8ce3dff1c7bfce0142354558b523"""
alexanderGugel,ied,"W/""4124bc5ab04e966a576c7b05d1deb4e339d9202ebc7f9088dab605627ffa9e59"""
donnemartin,dev-setup,"W/""b7fa335785c16f7050dbb537b3bce6b15ce475b4335d4d9a9d3373e193b69811"""
donnemartin,gitsome,"W/""e4f97d6cc8f20573ae5659452c7415196086f66ab2e39adad20c5afd1941a5f7"""
donnemartin,interactive-coding-challenges,"W/""7c39474a1fd01ed22fc85b7632939040154e8ad4b70f9f2c621fd4e2792807cd"""
donnemartin,system-design-primer,"W/""da4178b75f3c16cb32f7853ec3a66ed623f49bb1293f1308aa20984eef29e8f7"""
etcinit,phabulous,"W/""7cb99d25f94be72f8138e23c681d1cb0cbd59ad1df8c2c2346bb181929797a99"""
Guad,GTACoop,"W/""8187e52dc31cd444eb3731f414f9768426aa3eaf0e3a94fd3d9e2b155a9893c3"""
Guad,NativeUI,"W/""f8aa02b50c0fbe977471e96f01cf6ccb0bf8572283e1b162e9f2b04de46b2647"""
