owner_login,name,etag
aadsm,jsmediatags,"W/""b337912117a61bdb6602d8b03678ffe46ecb70b8f6e564d421342fbdecc022a1"""
aadsm,jschardet,"W/""e4fe24f5302bbe85b164645b2b393a8d6fc132da64e73bd07d30f1d15afba8df"""
alexanderGugel,ied,"W/""19e6a8d080319533d9c5c69811020f5a97f372cce745a9925d7b129043da7e10"""
donnemartin,dev-setup,"W/""451817fd6090df5455b3470d1db74f492295cfcb61489589f25c072e9c894de8"""
donnemartin,gitsome,"W/""7f08f7957d1d2c9e45a8334130e8a42eae28e05a811db2fd45c20b7a6ea33915"""
donnemartin,interactive-coding-challenges,"W/""63c0b39d30a6e2a55cacafc76a9b3ebe9d8e20a91d5c715b3d8c995f3782bb39"""
donnemartin,system-design-primer,"W/""e6ab57927c1d632fe87315ac598fcc3ad43281e494634712a9d806d749363b63"""
etcinit,phabulous,"W/""071803d6f79c484942bfd4cab64d63edfc3c9483719b5cf356c274cfffa0e749"""
Guad,GTACoop,"W/""c96eba784505fccfaad9f580577a21c484217104473a08de9762885816e44ba8"""
Guad,NativeUI,"W/""36a85cab1ac6653e26d31936e878b026ad9e73622ec324b01345bff4bdc577f3"""
