owner,repo,checked_at,etag
aadsm,jsmediatags,2021-04-28T13:59:34Z,"W/""fadcb73c888661094478833808a8cc2c53c9ba210fb68f595ca942704ab1d5a0"""
aadsm,jschardet,2021-04-28T13:59:36Z,"W/""a61cff5cf6e169b46c809842d96a35d5f7396d70aeeb6b35f32fec33441f99c5"""
alexanderGugel,ied,2021-04-28T13:59:41Z,"W/""dd0987d2a236c4eaf1720eac5f4f29c653cef17b1b4524e8452644e88cf73f3c"""
donnemartin,dev-setup,2021-04-28T13:59:44Z,"W/""a17816d181626c9f4df8a08bf2049563d2c15f3f189491d5435e73817b1293d7"""
donnemartin,gitsome,2021-04-28T13:59:49Z,"W/""a8a091dce83278164d7c769990e3be65ef5210171f5f5a1b7cdceb6b36fc31f3"""
donnemartin,interactive-coding-challenges,2021-04-28T13:59:57Z,"W/""383c11de68c8bd1675fe737b5b1c93524f29b2ab5898fbd6196ca47184dacf37"""
donnemartin,system-design-primer,2021-04-28T14:00:15Z,"W/""8369d2f94ca5737bd34d857201cc0a262c995fbaa3f2203181ad567344138532"""
etcinit,phabulous,2021-04-28T14:00:17Z,"W/""f81f98d60a31957566f5441210cd557510a143aac68793c6468cbb0818b3984f"""
Guad,GTACoop,2021-04-28T14:00:22Z,"W/""50ae171e670a2f999884fc6fe740adafd5b1b3df3c7f07b12243c7aefbbaad3e"""
Guad,NativeUI,2021-04-28T14:00:27Z,"W/""41a3f0881beb028a53daddaac1b99ee06e9d36a297373f52a75a7df84569971e"""
