owner,repo,issue_id,url,id,node_id,user_id,created_at,updated_at,author_association,body,performed_via_github_app,comments_url,html_url,issue_url
brianlovin,security-checklist,749412705,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/732703066,732703066,MDEyOklzc3VlQ29tbWVudDczMjcwMzA2Ng==,35613825,2020-11-24T07:13:50Z,2020-11-24T07:16:18Z,NONE,"This pull request is being automatically deployed with Vercel ([learn more](https://vercel.link/github-learn-more)).  
To see the status of your deployment, click below or on the icon next to each commit.

🔍 Inspect: [https://vercel.com/brianlovin/security-checklist/jnqsqayzb](https://vercel.com/brianlovin/security-checklist/jnqsqayzb)  
✅ Preview: [https://security-checklist-git-dependabot-npmandyarnnext-1003.brianlovin.vercel.app](https://security-checklist-git-dependabot-npmandyarnnext-1003.brianlovin.vercel.app)

",NA,https://api.github.com/repos/brianlovin/security-checklist/issues/667/comments,https://github.com/brianlovin/security-checklist/pull/667#issuecomment-732703066,https://api.github.com/repos/brianlovin/security-checklist/issues/667
brianlovin,security-checklist,749341041,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/732652713,732652713,MDEyOklzc3VlQ29tbWVudDczMjY1MjcxMw==,35613825,2020-11-24T04:55:22Z,2020-11-24T05:08:49Z,NONE,"This pull request is being automatically deployed with Vercel ([learn more](https://vercel.link/github-learn-more)).  
To see the status of your deployment, click below or on the icon next to each commit.

🔍 Inspect: [https://vercel.com/brianlovin/security-checklist/602rvwfrg](https://vercel.com/brianlovin/security-checklist/602rvwfrg)  
✅ Preview: [https://security-checklist-git-dependabot-npmandyarnbabelcore-7128.brianlovin.vercel.app](https://security-checklist-git-dependabot-npmandyarnbabelcore-7128.brianlovin.vercel.app)

",NA,https://api.github.com/repos/brianlovin/security-checklist/issues/666/comments,https://github.com/brianlovin/security-checklist/pull/666#issuecomment-732652713,https://api.github.com/repos/brianlovin/security-checklist/issues/666
brianlovin,security-checklist,748489818,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/731941560,731941560,MDEyOklzc3VlQ29tbWVudDczMTk0MTU2MA==,35613825,2020-11-23T05:49:49Z,2020-11-24T04:59:37Z,NONE,"This pull request is being automatically deployed with Vercel ([learn more](https://vercel.link/github-learn-more)).  
To see the status of your deployment, click below or on the icon next to each commit.

🔍 Inspect: [https://vercel.com/brianlovin/security-checklist/9airhzij8](https://vercel.com/brianlovin/security-checklist/9airhzij8)  
✅ Preview: [https://security-checklist-git-dependabot-npmandyarnprettier-220.brianlovin.now.sh](https://security-checklist-git-dependabot-npmandyarnprettier-220.brianlovin.now.sh)

",NA,https://api.github.com/repos/brianlovin/security-checklist/issues/665/comments,https://github.com/brianlovin/security-checklist/pull/665#issuecomment-731941560,https://api.github.com/repos/brianlovin/security-checklist/issues/665
brianlovin,security-checklist,748489818,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/732651092,732651092,MDEyOklzc3VlQ29tbWVudDczMjY1MTA5Mg==,1923260,2020-11-24T04:49:55Z,2020-11-24T04:49:55Z,OWNER,@dependabot recreate,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/665/comments,https://github.com/brianlovin/security-checklist/pull/665#issuecomment-732651092,https://api.github.com/repos/brianlovin/security-checklist/issues/665
brianlovin,security-checklist,748488723,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/731940791,731940791,MDEyOklzc3VlQ29tbWVudDczMTk0MDc5MQ==,35613825,2020-11-23T05:47:42Z,2020-11-24T15:19:41Z,NONE,"This pull request is being automatically deployed with Vercel ([learn more](https://vercel.link/github-learn-more)).  
To see the status of your deployment, click below or on the icon next to each commit.

🔍 Inspect: [https://vercel.com/brianlovin/security-checklist/92kbl7t2j](https://vercel.com/brianlovin/security-checklist/92kbl7t2j)  
✅ Preview: [https://security-check-git-dependabot-npmandyarnbabel-plugin-sty-d72a45.brianlovin.now.sh](https://security-check-git-dependabot-npmandyarnbabel-plugin-sty-d72a45.brianlovin.now.sh)

",NA,https://api.github.com/repos/brianlovin/security-checklist/issues/664/comments,https://github.com/brianlovin/security-checklist/pull/664#issuecomment-731940791,https://api.github.com/repos/brianlovin/security-checklist/issues/664
brianlovin,security-checklist,748488723,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/732651103,732651103,MDEyOklzc3VlQ29tbWVudDczMjY1MTEwMw==,1923260,2020-11-24T04:49:58Z,2020-11-24T04:49:58Z,OWNER,@dependabot recreate,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/664/comments,https://github.com/brianlovin/security-checklist/pull/664#issuecomment-732651103,https://api.github.com/repos/brianlovin/security-checklist/issues/664
brianlovin,security-checklist,748488723,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/732671112,732671112,MDEyOklzc3VlQ29tbWVudDczMjY3MTExMg==,1923260,2020-11-24T05:55:45Z,2020-11-24T05:55:45Z,OWNER,@dependabot recreate,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/664/comments,https://github.com/brianlovin/security-checklist/pull/664#issuecomment-732671112,https://api.github.com/repos/brianlovin/security-checklist/issues/664
brianlovin,security-checklist,748488128,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/731940384,731940384,MDEyOklzc3VlQ29tbWVudDczMTk0MDM4NA==,35613825,2020-11-23T05:46:32Z,2020-11-24T07:14:56Z,NONE,"This pull request is being automatically deployed with Vercel ([learn more](https://vercel.link/github-learn-more)).  
To see the status of your deployment, click below or on the icon next to each commit.

🔍 Inspect: [https://vercel.com/brianlovin/security-checklist/jcpbfs5al](https://vercel.com/brianlovin/security-checklist/jcpbfs5al)  
✅ Preview: [https://security-checklis-git-dependabot-npmandyarnprettier-esli-228c60.brianlovin.vercel.app](https://security-checklis-git-dependabot-npmandyarnprettier-esli-228c60.brianlovin.vercel.app)

",NA,https://api.github.com/repos/brianlovin/security-checklist/issues/663/comments,https://github.com/brianlovin/security-checklist/pull/663#issuecomment-731940384,https://api.github.com/repos/brianlovin/security-checklist/issues/663
brianlovin,security-checklist,748488128,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/732651128,732651128,MDEyOklzc3VlQ29tbWVudDczMjY1MTEyOA==,1923260,2020-11-24T04:50:03Z,2020-11-24T04:50:03Z,OWNER,@dependabot recreate,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/663/comments,https://github.com/brianlovin/security-checklist/pull/663#issuecomment-732651128,https://api.github.com/repos/brianlovin/security-checklist/issues/663
brianlovin,security-checklist,748487683,https://api.github.com/repos/brianlovin/security-checklist/issues/comments/731940076,731940076,MDEyOklzc3VlQ29tbWVudDczMTk0MDA3Ng==,35613825,2020-11-23T05:45:39Z,2020-11-23T05:50:15Z,NONE,"This pull request is being automatically deployed with Vercel ([learn more](https://vercel.link/github-learn-more)).  
To see the status of your deployment, click below or on the icon next to each commit.

🔍 Inspect: [https://vercel.com/brianlovin/security-checklist/ikg859brw](https://vercel.com/brianlovin/security-checklist/ikg859brw)  
✅ Preview: [https://security-checklist-git-dependabot-npmandyarnbabelcore-7127.brianlovin.vercel.app](https://security-checklist-git-dependabot-npmandyarnbabelcore-7127.brianlovin.vercel.app)

",NA,https://api.github.com/repos/brianlovin/security-checklist/issues/662/comments,https://github.com/brianlovin/security-checklist/pull/662#issuecomment-731940076,https://api.github.com/repos/brianlovin/security-checklist/issues/662
