owner,repo,etag
laserlemon,figaro,"W/""39063af13c75c5f2c8a39bdf1c71ecf5c066439dfbf685130700ce871a75e901"""
lostintangent,gistpad,"W/""2a09d91365f154ae1c892be7b8507c86e9b13a7ecffd8a74a8a17dacc29cc89c"""
lostintangent,codeswing,"W/""e6a1e734d37d6dc7a97b54fa59608c366a5395e7cedd7d9685951ade6a03189a"""
lildude,phpSmug,"W/""42b69c7b1a43c5ce2a0d22114f6e78542c1530ef097309e3c3079a70aafdb1fd"""
lgarron,clipboard-polyfill,"W/""d482329dc0cf2b727ba659ebcc056d1bcecd3cd77434b22df1c6ba622e436ccf"""
lgarron,folderify,"W/""18edef73e83f3f963a33a3384f04bc4ff32e64a54aeebbc06b3f3b47e967d5f2"""
mdo,code-guide,"W/""6e3d94b20d00d68a7f19c695343be44d8d83108276eba734e5e6a0f83ab30789"""
mdo,github-buttons,"W/""4f2f31847edb2cb8f3876907e3b70993fd6dfc66acf7b98343081382f2615177"""
lvivski,start,"W/""801405754ad85da32877f81bc4a7e32586e9365a7ac46fd034751dfc321743f9"""
lvivski,animatic,"W/""7a080d1ac832baa4d28ee79b4bbd9e9244829a9fbca85698ab380141a5d3a36f"""
