owner,repo,etag
eliben,pyelftools,"W/""ca8f84cb849b7240f317a308c4f33fc6b76986dc56bb2697d601785000c4c539"""
eliben,pycparser,"W/""3247026009317dfa0ae05661d9e99ba80818a3d75a4d306b4253fd3822427c1f"""
elharo,xom,"W/""6bf6bd1a53d13027b4ea221a8211c8689d4fbb33eb0d3971b9741d600c1ed71b"""
ericchiang,k8s,"W/""3d16402a080e6c1a23a7cc63a7dfb8c96f8bc9c9f8bf1f8b7b9a713cd33609ce"""
ericchiang,pup,"W/""f10f5d1513a849bc0d0e01fc27aad7ff348988aae7fe993033ae77ca8c7c72b7"""
farcaller,DashDoc,"W/""994cc374d3b3f42acfb1aae8c335e2dac04f8ae8cd5337dddde5847ecb141517"""
filiph,linkcheck,"W/""88ae40d58b7de9d76534331271a4a17635648aeb0e9fa9c593bc9c77310df64c"""
FiloSottile,yubikey-agent,"W/""d0bb728b685337c02c1186549a13d6acdd3afa7f4cf3e729cc53a3a3f2d38697"""
FiloSottile,Heartbleed,"W/""b1404de5d19151cc49f375f95764a11cc22e9a6c0720fd3b1e25fc2a950f4023"""
FiloSottile,age,"W/""2d7f22ab20b08292f6734c1345e54088876f781f076f12a0072b5f17fce77098"""
FiloSottile,mkcert,"W/""4da757d8abf543411cd0a07e278b0dcc4f826166d1b9da3181713cecc7acdc6b"""
gaul,s3proxy,"W/""7128e2f22fbe4952993465286c94ce7ecbe66522626be9fff8656214a69c698f"""
gaul,modernizer-maven-plugin,"W/""83e27dc4a12c6e6493f9fec4b0c9db4c5a99d81297ab17fbea027c3dd09331a2"""
