owner,repo,url,id,node_id,number,title,user_id,state,locked,assignee_id,milestone_id,comments,created_at,updated_at,closed_at,author_association,active_lock_reason,body,performed_via_github_app,is_pull_request,repository_url,labels_url,comments_url,events_url,html_url,pull_request_url
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/156,747038779,MDU6SXNzdWU3NDcwMzg3Nzk=,156,"build fails, instructions not enough...",7434164,open,FALSE,NA,NA,0,2020-11-20T00:24:25Z,2020-11-20T00:24:25Z,NA,NONE,NA,"probably just that I know zip about go but after I followed the instructions I get:

$ go build ./
main.go:15:2: cannot find package ""github.com/hanwen/go-fuse/v2/fs"" in any of:
        /usr/lib/go/src/pkg/github.com/hanwen/go-fuse/v2/fs (from $GOROOT)
        ($GOPATH not set)
main.go:16:2: cannot find package ""github.com/hanwen/go-fuse/v2/fuse"" in any of:
        /usr/lib/go/src/pkg/github.com/hanwen/go-fuse/v2/fuse (from $GOROOT)
        ($GOPATH not set)
main.go:17:2: cannot find package ""github.com/hanwen/go-mtpfs/fs"" in any of:
        /usr/lib/go/src/pkg/github.com/hanwen/go-mtpfs/fs (from $GOROOT)
        ($GOPATH not set)
main.go:18:2: cannot find package ""github.com/hanwen/go-mtpfs/mtp"" in any of:
        /usr/lib/go/src/pkg/github.com/hanwen/go-mtpfs/mtp (from $GOROOT)
        ($GOPATH not set)

So looks like it doesn't fetch dependencies automagically.  I took a brief try at go-fuse but it doesn't seem to hav installation instructions and I don't know what to do",NA,FALSE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/156/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/156/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/156/events,https://github.com/hanwen/go-mtpfs/issues/156,NA
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/155,736944311,MDU6SXNzdWU3MzY5NDQzMTE=,155,What is the fastest way to get the total file count in a file tree?,182092,closed,FALSE,NA,NA,0,2020-11-05T13:44:51Z,2020-11-06T06:37:35Z,2020-11-06T06:37:35Z,NONE,NA,"I am looking for a way to fetch the total file count in a directory tree.

Right now, to get the total file count, I am using the `GetObjectHandles` method to loop through the directories recursively while adding the total length of the `handles` in each directory.

something like this
```go
func getTotalFile(parentId) int64 {
	handles := mtp.Uint32Array{}
	dev.GetObjectHandles(storageId, mtp.GOH_ALL_ASSOCS, parentId, &handles)

	if isDirectory {
	  total = getTotalFile(parentId)
	}

	return len(handles) + total
}

```
This is very slow if the directory tree is large and wasting a lot of time processing the files. 

I see a `GetNumObjects` method in op.go file but it doesn't return the total files in the directory tree.

What's the best and efficient way to find the total number of files in a directory, recursively?

I'd appreciate any suggestions",NA,FALSE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/155/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/155/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/155/events,https://github.com/hanwen/go-mtpfs/issues/155,NA
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/154,729054182,MDU6SXNzdWU3MjkwNTQxODI=,154,failed to access mountpoint: Transport endpoint is not connected,422244,open,FALSE,NA,NA,3,2020-10-25T16:11:01Z,2020-10-26T03:06:42Z,NA,NONE,NA,"Trying to mount my new phone with `go-mtpfs` for the first time while all other methods failed, but got into the _""failed to access mountpoint: Transport endpoint is not connected""_ error from `fusermount`. Here are the details:

```sh
$ sudo go-mtpfs -debug ""usb,data,mtp,fuse"" -allow-other /mnt/phone/
2020/10/25 11:53:09 MTP request OpenSession [883707387]
send: 0x10 bytes with ep 0x1:
0000: 1000 0000 0100 0210 0000 0000 fb4d ac34  .............M.4
recv: 0xc bytes with ep 0x81:
0000: 0c00 0000 0300 0120 0000 0000            ....... ....
2020/10/25 11:53:09 MTP response OK []
2020/10/25 11:53:09 MTP request GetStorageIDs []
send: 0xc bytes with ep 0x1:
0000: 0c00 0000 0100 0410 0100 0000            ............
recv: 0x10 bytes with ep 0x81:
0000: 1000 0000 0200 0410 0100 0000 0000 0000  ................
2020/10/25 11:53:09 MTP data 0x10 bytes
recv: 0xc bytes with ep 0x81:
0000: 0c00 0000 0300 0120 0100 0000            ....... ....
2020/10/25 11:53:09 MTP response OK []
2020/10/25 11:53:09 MTP decoded &mtp.Uint32Array{Values:[]uint32{}}
2020/10/25 11:53:09 MTP request GetDeviceInfo []
send: 0xc bytes with ep 0x1:
0000: 0c00 0000 0100 0110 0200 0000            ............
recv: 0x17d bytes with ep 0x81:
0000: 7d01 0000 0200 0110 0200 0000 6400 0600  }...........d...
0010: 0000 6400 266d 0069 0063 0072 006f 0073  ..d.&m.i.c.r.o.s
0020: 006f 0066 0074 002e 0063 006f 006d 003a  .o.f.t...c.o.m.:
0030: 0020 0031 002e 0030 003b 0020 0061 006e  . .1...0.;. .a.n
0040: 0064 0072 006f 0069 0064 002e 0063 006f  .d.r.o.i.d...c.o
0050: 006d 003a 0020 0031 002e 0030 003b 0000  .m.:. .1...0.;..
0060: 0000 0021 0000 0001 1002 1003 1004 1005  ...!............
0070: 1006 1007 1008 1009 100a 100b 100c 100d  ................
0080: 1010 1014 1015 1016 1017 1019 101a 101b  ................
0090: 1001 9802 9803 9804 9805 9810 9811 98c1  ................
00a0: 95c2 95c3 95c4 95c5 9506 0000 0002 4003  ..............@.
00b0: 4004 4005 4006 4007 4005 0000 0001 d402  @.@.@.@.@.......
00c0: d403 5001 5007 d400 0000 001c 0000 0000  ..P.P...........
00d0: 3001 3004 3005 3008 3009 300b 3001 3802  0.0.0.0.0.0.0.8.
00e0: 3804 3807 3808 380b 380d 3801 b902 b903  8.8.8.8.8.8.....
00f0: b982 b983 b984 b905 ba10 ba11 ba14 ba82  ................
0100: ba06 b911 3812 3807 5800 6900 6100 6f00  ....8.8.X.i.a.o.
0110: 6d00 6900 0000 0d52 0065 0064 006d 0069  m.i....R.e.d.m.i
0120: 0020 0031 0030 0058 0020 0034 0047 0000  . .1.0.X. .4.G..
0130: 0004 3100 2e00 3000 0000 2141 0046 0038  ..1...0...!A.F.8
0140: 0037 0039 0041 0043 0037 0031 0037 0042  .7.9.A.C.7.1.7.B
0150: 0044 0041 0032 0037 0045 0044 0039 0030  .D.A.2.7.E.D.9.0
0160: 0032 0032 0036 0033 0039 0032 0032 0045  .2.2.6.3.9.2.2.E
0170: 0039 0037 0045 0045 0032 0000 00         .9.7.E.E.2...
2020/10/25 11:53:09 MTP data 0x17d bytes
recv: 0xc bytes with ep 0x81:
0000: 0c00 0000 0300 0120 0200 0000            ....... ....
2020/10/25 11:53:09 MTP response OK []
2020/10/25 11:53:09 MTP decoded &mtp.DeviceInfo{StandardVersion:0x64, MTPVendorExtensionID:0x6, MTPVersion:0x64, MTPExtension:""microsoft.com: 1.0; android.com: 1.0;"", FunctionalMode:0x0, OperationsSupported:[]uint16{0x1001, 0x1002, 0x1003, 0x1004, 0x1005, 0x1006, 0x1007, 0x1008, 0x1009, 0x100a, 0x100b, 0x100c, 0x100d, 0x1010, 0x1014, 0x1015, 0x1016, 0x1017, 0x1019, 0x101a, 0x101b, 0x9801, 0x9802, 0x9803, 0x9804, 0x9805, 0x9810, 0x9811, 0x95c1, 0x95c2, 0x95c3, 0x95c4, 0x95c5}, EventsSupported:[]uint16{0x4002, 0x4003, 0x4004, 0x4005, 0x4006, 0x4007}, DevicePropertiesSupported:[]uint16{0xd401, 0xd402, 0x5003, 0x5001, 0xd407}, CaptureFormats:[]uint16{}, PlaybackFormats:[]uint16{0x3000, 0x3001, 0x3004, 0x3005, 0x3008, 0x3009, 0x300b, 0x3801, 0x3802, 0x3804, 0x3807, 0x3808, 0x380b, 0x380d, 0xb901, 0xb902, 0xb903, 0xb982, 0xb983, 0xb984, 0xba05, 0xba10, 0xba11, 0xba14, 0xba82, 0xb906, 0x3811, 0x3812}, Manufacturer:""Xiaomi"", Model:""Redmi 10X 4G"", DeviceVersion:""1.0"", SerialNumber:""AF8...EE2""}
/usr/bin/fusermount: failed to access mountpoint /mnt/phone: Transport endpoint is not connected
2020/10/25 11:53:09 mount failed: fusermount exited with code 256

$ ls -l /mnt/ | grep phone
ls: cannot access '/mnt/phone': Transport endpoint is not connected
d????????? ? ?    ?       ?                ? phone

$ fusermount -u /mnt/phone
fusermount: entry for /mnt/phone not found in /etc/mtab

$ mtp-files | head 
libmtp version: 1.1.17

Device 0 (VID=2717 and PID=ff40) is a Xiaomi Mi-2s (id2) (MTP).
mtp-files: Successfully connected
Error 1: Get Storage information failed.
Android device detected, assigning default bug flags
Listing File Information on Device with name: (NULL)
OK.

$ dmesg | grep 'usb 2-1'
[3771860.557024] usb 2-1.3: new high-speed USB device number 4 using ehci-pci
[3771860.586003] usb 2-1.3: New USB device found, idVendor=2717, idProduct=ff40, bcdDevice= 4.04
[3771860.586006] usb 2-1.3: New USB device strings: Mfr=1, Product=2, SerialNumber=3
[3771860.586007] usb 2-1.3: Product: Redmi 10X 4G
[3771860.586008] usb 2-1.3: Manufacturer: Xiaomi
[3771860.586009] usb 2-1.3: SerialNumber: acf2...05

```

I've got `mtp-files` list endless files before, but don't know why it is displaying ""Get Storage information failed"" error instead now. I've unplugged and re-plugged the phone to PC several times. Here is what I had before:

```
. . .
File ID: 19325
   Filename: .nomedia
   File size 0 (0x0000000000000000) bytes
   Parent ID: 19169
   Storage ID: 0x00020001
   Filetype: Undefined filetype
File ID: 19326
   Filename: .nomedia
   File size 0 (0x0000000000000000) bytes
   Parent ID: 19214
   Storage ID: 0x00020001
   Filetype: Undefined filetype
File ID: 19327
   Filename: .nomedia
   File size 0 (0x0000000000000000) bytes
   Parent ID: 19209
   Storage ID: 0x00020001
   Filetype: Undefined filetype
File ID: 19328
   Filename: .nomedia
. . .
```

I have no idea what the problems were, but I want just to mount my phone and navigate in its storage more conveniently through my file manager. Thx!

```sh
$ apt-cache policy go-mtpfs
go-mtpfs:
  Installed: 0.0~git20180209.d6f8f3c-1
  Candidate: 0.0~git20180209.d6f8f3c-1
  Version table:
 *** 0.0~git20180209.d6f8f3c-1 500
        500 http://archive.ubuntu.com/ubuntu focal/universe amd64 Packages
        100 /var/lib/dpkg/status

$ lsb_release -a 
No LSB modules are available.
Distributor ID: Ubuntu
Description:    Ubuntu 20.04 LTS
Release:        20.04
Codename:       focal
```
",NA,FALSE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/154/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/154/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/154/events,https://github.com/hanwen/go-mtpfs/issues/154,NA
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/153,728488957,MDU6SXNzdWU3Mjg0ODg5NTc=,153,Progress callback for SendObject and GetObject,182092,open,FALSE,NA,NA,6,2020-10-23T19:56:48Z,2020-11-05T13:21:33Z,NA,NONE,NA,"I am trying to upload/download files using MTP but I couldn't find any callbacks for receiving the progress.

Is there a way to get the progress information for SendObject and GetObject?",NA,FALSE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/153/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/153/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/153/events,https://github.com/hanwen/go-mtpfs/issues/153,NA
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/152,672924131,MDExOlB1bGxSZXF1ZXN0NDYyODc2Mjgx,152,Fixed the macos LIBUSB_ERROR_NOT_FOUND bug,182092,closed,FALSE,NA,NA,3,2020-08-04T16:32:28Z,2020-10-27T08:01:56Z,2020-10-27T08:01:56Z,NONE,NA,"Fixes: https://github.com/hanwen/go-mtpfs/issues/121

Solution: https://github.com/hanwen/go-mtpfs/issues/121#issuecomment-655611535",NA,TRUE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/152/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/152/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/152/events,https://github.com/hanwen/go-mtpfs/pull/152,https://api.github.com/repos/hanwen/go-mtpfs/pulls/152
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/151,667226849,MDExOlB1bGxSZXF1ZXN0NDU3OTM0MzUw,151,Fix/read err,2425178,closed,FALSE,NA,NA,2,2020-07-28T16:56:52Z,2020-07-28T16:59:36Z,2020-07-28T16:57:02Z,NONE,NA,,NA,TRUE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/151/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/151/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/151/events,https://github.com/hanwen/go-mtpfs/pull/151,https://api.github.com/repos/hanwen/go-mtpfs/pulls/151
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/150,662606909,MDU6SXNzdWU2NjI2MDY5MDk=,150,Not able to list the devices.,182092,closed,FALSE,NA,NA,5,2020-07-21T05:28:28Z,2020-07-21T13:28:36Z,2020-07-21T10:44:26Z,NONE,NA,"I am using macOS and I am trying to write code to access my android phone.

I installed pkg-config and libusb via homebrew

My code:

```dart
package main

import ""github.com/hanwen/go-mtpfs/mtp""
import ""github.com/hanwen/usb""

func main() {
	usbContext := usb.NewContext()

	device, err := mtp.FindDevices(usbContext)

	println(""error: "", err)

	if err != nil {
		println(device)
	}
}

```

it outputs: error: (0x0,0x0)

What am I doing wrong here? I am trying to write a portable mtp application using go-mtpfs.
",NA,FALSE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/150/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/150/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/150/events,https://github.com/hanwen/go-mtpfs/issues/150,NA
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/149,636677836,MDExOlB1bGxSZXF1ZXN0NDMyODA3NTE2,149,Update README.md,2077025,open,FALSE,NA,NA,0,2020-06-11T02:54:13Z,2020-06-11T02:54:13Z,NA,NONE,NA,Clarify things a little bit,NA,TRUE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/149/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/149/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/149/events,https://github.com/hanwen/go-mtpfs/pull/149,https://api.github.com/repos/hanwen/go-mtpfs/pulls/149
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/148,636433315,MDU6SXNzdWU2MzY0MzMzMTU=,148,Not updating file list for new files,7429494,open,FALSE,NA,NA,1,2020-06-10T17:43:20Z,2021-04-17T10:15:40Z,NA,NONE,NA,"I mount my device and have pictures in DCIM/OpenCamera folder (I'm using Open Camera app). While the device is still connected and mounted, I open camera application and make new pictures. New pictures are not displayed in the mounted folder. If unmount, and mount again, then new files will be listed as one would expect.

Is it possible to see new files created by Android applications without additional manipulations? Do I miss any option?

I'm using [AUR version](https://aur.archlinux.org/packages/go-mtpfs-git/) on Manjaro from Jan 11, 2020.",NA,FALSE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/148/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/148/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/148/events,https://github.com/hanwen/go-mtpfs/issues/148,NA
hanwen,go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/147,586714765,MDU6SXNzdWU1ODY3MTQ3NjU=,147,Cannot build on Fedora 31: go get error message: libusb_set_debug is deprecated,12527303,open,FALSE,NA,NA,1,2020-03-24T06:00:54Z,2021-01-30T20:17:47Z,NA,NONE,NA,"Followed the directions here:
https://github.com/hanwen/go-mtpfs/wiki/Fedora-install

While invoking this command:
`$ go get github.com/hanwen/go-mtpfs`

Error message:
```
# github.com/hanwen/usb
cgo-gcc-prolog: In function ‘_cgo_afe072e410cc_Cfunc_libusb_set_debug’:
cgo-gcc-prolog:662:2: warning: ‘libusb_set_debug’ is deprecated: Use libusb_set_option instead [-Wdeprecated-declarations]
In file included from src/github.com/hanwen/usb/usb.go:8:
/usr/include/libusb-1.0/libusb.h:1300:18: note: declared here
 1300 | void LIBUSB_CALL libusb_set_debug(libusb_context *ctx, int level);
      |                  ^~~~~~~~~~~~~~~~

```

Cross-referenced:
https://github.com/hanwen/go-mtpfs/issues/144

Branch: https://github.com/hanwen/go-mtpfs/commit/42254b1935eb89625d0c8b61bb8128db2cd3c22f  

appears to be in order. Code snippet looks like this:
```
                for range asFolder.Children() {
                        errno = syscall.ENOTEMPTY
                        return
                }
```


Any ideas??
",NA,FALSE,https://api.github.com/repos/hanwen/go-mtpfs,https://api.github.com/repos/hanwen/go-mtpfs/issues/147/labels{/name},https://api.github.com/repos/hanwen/go-mtpfs/issues/147/comments,https://api.github.com/repos/hanwen/go-mtpfs/issues/147/events,https://github.com/hanwen/go-mtpfs/issues/147,NA
