owner,repo,url,id,node_id,number,title,user_id,state,locked,assignee_id,milestone,comments,created_at,updated_at,closed_at,author_association,active_lock_reason,body,performed_via_github_app,is_pull_request,repository_url,labels_url,comments_url,events_url,html_url,pull_request_url
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/72,836855905,MDU6SXNzdWU4MzY4NTU5MDU=,72,Attribute binding only works with all lowercase binding names,1965658,open,FALSE,NA,NA,2,2021-03-20T16:40:43Z,2021-03-22T12:54:25Z,NA,NONE,NA,"I'm not entirely sure why this line is here
https://github.com/mbest/knockout.punches/blob/70ed98d292bb33324aee4986b495c57326d084b6/src/interpolationMarkup.js#L146

but it means that any bindings that have names like this: `someBinding` won't work. A couple built in bindings happen to work, such as `textInput`, because they are actually aliased to have lower case versions as well. Obviously, a work around is to simply alias any binding that doesn't already have a lower case alias, but I'm not certain why that's necessary. Was this intentional? ",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/72/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/72/comments,https://api.github.com/repos/mbest/knockout.punches/issues/72/events,https://github.com/mbest/knockout.punches/issues/72,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/71,574822639,MDU6SXNzdWU1NzQ4MjI2Mzk=,71,Possibility to access enclosing element in text filter?,30928046,open,FALSE,NA,NA,2,2020-03-03T17:23:44Z,2020-03-16T13:46:37Z,NA,NONE,NA,"Basically I want the same behavior of the ""| default: "" filter but I have the need to make the text italics when it should display ""Missing"".
Still want HTML escape and so on though. Would it be possible to access the enclosing element to attach a class or a style to it?",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/71/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/71/comments,https://api.github.com/repos/mbest/knockout.punches/issues/71/events,https://github.com/mbest/knockout.punches/issues/71,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/70,446183391,MDU6SXNzdWU0NDYxODMzOTE=,70,Handlebars interpolation not working,1685483,closed,FALSE,NA,NA,2,2019-05-20T15:34:55Z,2019-05-21T05:54:50Z,2019-05-20T15:54:29Z,NONE,NA,"Versions in use: punches 0.5.1, knockout 3.4.1

I've added knockout.punches to an existing ko project and some features seem to function, such as filters in a 'text' binding handler, but the handlebars interpolation is not.  I just see the literal value after the bindings are applied, i.e., `{{objValue}}` remains just that in the output.

I've checked that `interpolationMarkupPreprocessor()` is really getting added via `addNodePreprocessor()` but `provider.preprocessNode` never gets called!

How do I go about troubleshooting further?
",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/70/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/70/comments,https://api.github.com/repos/mbest/knockout.punches/issues/70/events,https://github.com/mbest/knockout.punches/issues/70,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/69,393879802,MDU6SXNzdWUzOTM4Nzk4MDI=,69,$data within handle bars? - Cannot apply bindings multiple times to the same element,4511274,closed,FALSE,NA,NA,4,2018-12-24T13:15:16Z,2018-12-28T20:45:10Z,2018-12-28T20:45:10Z,NONE,NA,"I've encountered an issue binding data within a nested foreach block using {{$data}}. The following error appears:

""cannot apply bindings multiple times to the same element""

I've created a fiddle to replicate: https://jsfiddle.net/usmgLjhc/

I can work around the issue by replacing {{$data}} with a span (e.g. data-bind=""text: $data""),

or by wrapping {{$data}} within another div so that it's not the immediate child of the ko foreach comment block... but I'm guessing there's some issue here.

I like the handle-bar syntax as it's much cleaner. Should it be possible to use $data within handle-bars when it's the immediate child within a foreach? ",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/69/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/69/comments,https://api.github.com/repos/mbest/knockout.punches/issues/69/events,https://github.com/mbest/knockout.punches/issues/69,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/68,336699470,MDU6SXNzdWUzMzY2OTk0NzA=,68,Is it possible to use punches and textInput?,3091283,open,FALSE,NA,NA,3,2018-06-28T16:48:40Z,2018-06-28T17:54:23Z,NA,NONE,NA,"I love punches for the ability to write

    <input value=""{{myField}}"" />

which creates a binding like:

    <input data-bind=""value:myField"" >

But in some cases I also want more immediate updates using `textInput`:

    <input data-bind=""textInput: myField"" />

Is there any way to accomplish this in punches?",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/68/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/68/comments,https://api.github.com/repos/mbest/knockout.punches/issues/68/events,https://github.com/mbest/knockout.punches/issues/68,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/67,238706503,MDU6SXNzdWUyMzg3MDY1MDM=,67,Feature request: two way filters,3654426,open,FALSE,NA,NA,3,2017-06-27T00:33:44Z,2017-06-28T18:12:01Z,NA,NONE,NA,"Looks like this library isn't getting much updates, but I think it would be cool to have two way filters.
I.e. a phone filter would take a 10 digit value like ""1234567890"" and convert it to ""(123) 456-7890"" as the value is being sent to the view. And then strips the formatting upon return the view-model.

I could see enabling this by adding an object the ko.filters object:
```javascript
ko.filters.phone {
    read: function ( phoneOut ) { return phoneOut ? phoneOut.replace( /(\d{3})(\d{3})(\d{4})/, ""($1) $2-$3"" ) : ''; }
    write: function ( phoneIn ) { return (phoneIn || '').replace( /[^\d]/g, '' ); }
};
```
Could this somehow be wrapped in an computed prior to binding?

_Update: copy and paste fixed._

_Update again:_ 
And this would, obviously, be used like this:
```html
<input value=""{{CellPhone | phone}}"" />
```
",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/67/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/67/comments,https://api.github.com/repos/mbest/knockout.punches/issues/67/events,https://github.com/mbest/knockout.punches/issues/67,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/66,208760669,MDU6SXNzdWUyMDg3NjA2Njk=,66,Disable text interpolation for target block,2461257,open,FALSE,NA,NA,7,2017-02-20T00:40:52Z,2017-02-21T00:00:05Z,NA,NONE,NA,"Im does not found this option in docs. Is this exists?

Like:

```html
<div class=""{{ works }}"">
    <code data-bind=""punches: false"">
        Some {{ example with }} {{ raw }} text
    </code>
</div>
```

UPD Fastfix (**slow and have bugs**):
```js
for (let node of document.body.querySelectorAll('[data-punches=""false""]')) {
    node.innerHTML = node.innerHTML
       .replace(/(\{\{|\}\})/g, p => `{{""${p}""}}`)
}
```

UPD Fastfix No2 (**does not work**):
```js
for (let node of document.body.querySelectorAll('[data-punches=""false""]')) {
    node.innerHTML = node.innerHTML
        .replace(/\{\{/g, '&#123; &#123;')
        .replace(/\}\}/g, '&#125; &#125;');
}
```

UPD Fastfix No3 (**works but has side effects**)
```js
for (let node of document.body.querySelectorAll('[data-punches=""false""]')) {
    node.innerHTML = node.innerHTML
        .replace(/\{\{([\s\S]*?)\}\}/g, (i, j) => `&#123;&#8203;&#123;${j}&#125;&#8203;&#125;`)
}
```",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/66/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/66/comments,https://api.github.com/repos/mbest/knockout.punches/issues/66/events,https://github.com/mbest/knockout.punches/issues/66,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/65,184652008,MDU6SXNzdWUxODQ2NTIwMDg=,65,IE7 compatibility,17215348,open,FALSE,NA,NA,0,2016-10-22T20:21:33Z,2016-10-22T20:21:33Z,NA,NONE,NA,"Hi,

Lines 79 and 80 in src/interpolationMarkup.js :
        firstChar = expressionText[0],
        lastChar = expressionText[expressionText.length - 1],
are not compatible with IE7,
        firstChar = expressionText.charAt(0),
        lastChar = expressionText.charAt(expressionText.length - 1),
seems to work properly in all browsers.
",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/65/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/65/comments,https://api.github.com/repos/mbest/knockout.punches/issues/65/events,https://github.com/mbest/knockout.punches/issues/65,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/64,181453306,MDU6SXNzdWUxODE0NTMzMDY=,64,{{#foreach}} not working with JSON array,10520513,closed,FALSE,NA,NA,2,2016-10-06T15:47:39Z,2016-10-07T15:50:35Z,2016-10-07T02:51:58Z,NONE,NA,"I'm using `{{#foreach: orders}}` to display a list of orders fetched from a `.json` file. The orders are held in a `ko.observableArray()`.

I'm receiving the following error when using Knockout 3.4.0 and KO Punches 0.5.1 with `ko.punches.enableAll();` defined:

```
Uncaught ReferenceError: Unable to process binding ""text: function (){return orderId }""
Message: orderId is not defined
```

However, if I use the KO native `data-bind=""foreach: orders""`, this code works as expected.

Here's the code:

**HTML**

```
<table class=""table table-hover"">
    <tbody>
        {{#foreach: orders}}
        <tr>
            <td class=""fixed""><i class=""glyphicon glyphicon-shopping-cart""></i></td>
            <td><a href=""javascript:;"">{{orderId}}</a></td>
            <td>{{orderStatusTypeDescription}}</td>
            <td>{{orderDate}}</td>
        </tr>
        {{/foreach}}
    </tbody>
</table>
```

**JS ViewModel (snippet)**

```
var vm = this;
this.orders = ko.observableArray();
ctx.svc.getOrders(1)
        .then(function (orders) {
            vm.orders(orders);
        });
```

**JSON returned by service (orders.json)**

```
[
  {
    ""orderId"": 10001,
    ""customerId"": 1,
    ""orderStatusTypeId"": 7,
    ""orderStatusTypeDescription"": ""Accepted"",
    ""orderDate"": ""2012-04-23T18:25:43.511Z""
  },
  {
    ""orderId"": 9631,
    ""customerId"": 1,
    ""orderStatusTypeId"": 4,
    ""orderStatusTypeDescription"": ""Cancelled"",
    ""orderDate"": ""2012-04-23T18:25:43.511Z""
  },
  {
    ""orderId"": 9014,
    ""customerId"": 1,
    ""orderStatusTypeId"": 8,
    ""orderStatusTypeDescription"": ""Printed"",
    ""orderDate"": ""2012-04-23T18:25:43.511Z""
  },
  {
    ""orderId"": 9000,
    ""customerId"": 1,
    ""orderStatusTypeId"": 9,
    ""orderStatusTypeDescription"": ""Shipped"",
    ""orderDate"": ""2012-04-23T18:25:43.511Z""
  }
]
```
",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/64/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/64/comments,https://api.github.com/repos/mbest/knockout.punches/issues/64/events,https://github.com/mbest/knockout.punches/issues/64,NA
mbest,knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/63,149770812,MDU6SXNzdWUxNDk3NzA4MTI=,63,Confusing file structure in npm package,6099330,open,FALSE,NA,NA,0,2016-04-20T13:41:21Z,2016-04-20T13:41:21Z,NA,NONE,NA,"I recently spent 1 hour of trying to debug why attribute interpolation wasn't working at all. Finally I found that I incorrectly used the `js` files from `build/output` folder (just as they are in `knockout` npm package) instead of the ones in the root.

The two files in the `build/output` folder are an old version (0.2.1), that's why it wasn't working. Please do something if you can, so in the future no more victims will get confused by this.
",NA,FALSE,https://api.github.com/repos/mbest/knockout.punches,https://api.github.com/repos/mbest/knockout.punches/issues/63/labels{/name},https://api.github.com/repos/mbest/knockout.punches/issues/63/comments,https://api.github.com/repos/mbest/knockout.punches/issues/63/events,https://github.com/mbest/knockout.punches/issues/63,NA
