owner,repo,etag
tg123,sshpiper,"W/""42c2adc7481acb19308fbe25f6024ef7bb3be9340dcd059a10b355a0ab473d34"""
TheLarkInn,angular2-template-loader,"W/""52107e2d72c068d075492aeb8b091ce6319d2a681cd326a8a3e8e3350030ad65"""
thautwarm,MLStyle.jl,"W/""6a56be8f59c4b6d01b86ef30558eaed646add181ee497fafd575f7a660a88b8a"""
timheuer,alexa-skills-dotnet,"W/""e60f2d7c28b0a0135dfed33c04141e6b5e45da9dc958e7e2b26d852df8608e9a"""
TobiahZ,processing-vscode,"W/""5bcff2a7bbdcd821532cbc2c2e6972476f66c20077d862abaa8953737c2461fd"""
Tyriar,vscode-theme-generator,"W/""f29f4982f209e1ff03c5de072b6f4265fc8bc2c0f4875c71710bb2bf91fca1a6"""
vladris,tinkerer,"W/""c3387aa61353378081d3a323b54ed984211cf2f27f762bf31fa9782b93f3edcb"""
wbuchwalter,Kubernetes-acs-engine-autoscaler,"W/""c3165a261ab785027b7dbf2dd5d4cf84eeaecbfff0ae3c0ae1ebb0bb00a9b558"""
wbuchwalter,tslint-loader,"W/""f23eb4e2bc8257560106c3a73c23490783792c89549477e0924ac18def317cb3"""
yangyuan,hearthrock,"W/""7505f28f5b7079eb7df1b8ea9ac2fb0adb97924e33c831d8460f636492bd15a7"""
yatli,fvim,"W/""79d5e2702ba578909542d2529345d799ded4c5b0e86eea1fa5a576363b42d526"""
Yvand,AzureCP,"W/""50f88a5ca478e058ee913324bbd264439a918cec9c7fb172dc0e6e0c070f56b0"""
Yvand,LDAPCP,"W/""40a4a03988e5d6f33edbd3b77dc05d3842186044aa384b51c9ef5e94f9b4ea39"""
