owner,repo,url,id,node_id,number,title,user_id,state,locked,assignee_id,milestone_id,comments,created_at,updated_at,closed_at,author_association,active_lock_reason,body,performed_via_github_app,is_pull_request,repository_url,labels_url,comments_url,events_url,html_url,pull_request_url
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/63,854549962,MDExOlB1bGxSZXF1ZXN0NjEyNDc4MjAx,63,Fix a Docker Hub link in README.md,206854,closed,FALSE,NA,NA,0,2021-04-09T13:56:18Z,2021-04-09T15:35:18Z,2021-04-09T15:35:18Z,CONTRIBUTOR,NA,,NA,TRUE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/63/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/63/comments,https://api.github.com/repos/tg123/sshpiper/issues/63/events,https://github.com/tg123/sshpiper/pull/63,https://api.github.com/repos/tg123/sshpiper/pulls/63
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/62,791832513,MDU6SXNzdWU3OTE4MzI1MTM=,62,Mapping features for database upstream driver,8708247,open,FALSE,NA,NA,2,2021-01-22T09:11:05Z,2021-04-21T12:07:35Z,NA,NONE,NA,"Looks like this feature has been implemented in the YAML upstream driver, but not in others. I'm especially interested in using the feature with the database driver as it'd definitely scale better than Yaml. 

Do you have any plans to implement this in the database driver in the near future?

",NA,FALSE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/62/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/62/comments,https://api.github.com/repos/tg123/sshpiper/issues/62/events,https://github.com/tg123/sshpiper/issues/62,NA
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/61,782339336,MDExOlB1bGxSZXF1ZXN0NTUxOTEyOTEy,61,Allow multiple host keys to be loaded by specifying a globbable path,98647,closed,FALSE,NA,NA,2,2021-01-08T19:15:31Z,2021-01-13T06:31:44Z,2021-01-11T17:15:30Z,CONTRIBUTOR,NA,,NA,TRUE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/61/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/61/comments,https://api.github.com/repos/tg123/sshpiper/issues/61/events,https://github.com/tg123/sshpiper/pull/61,https://api.github.com/repos/tg123/sshpiper/pulls/61
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/60,775715686,MDU6SXNzdWU3NzU3MTU2ODY=,60,Dynamic configuration for docker / swarm containers ?,333408,open,FALSE,NA,NA,2,2020-12-29T06:01:57Z,2021-01-02T19:12:54Z,NA,NONE,NA,"Hi,
I know it could be done with additional scripts and piper command, but would be nice to have a plugin / integration... Don't know how much work it would be!

It would be great to generate the a sshpiper user by docker container labels as done with [caddy-docker-proxy](https://github.com/lucaslorentz/caddy-docker-proxy). sshpiper would need to read SSHPIPER_* labels (user, pass, pubkey, ...) from docker.sock, collect container or swarm (v)ip and generate the needed sshpiper configuration.
",NA,FALSE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/60/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/60/comments,https://api.github.com/repos/tg123/sshpiper/issues/60/events,https://github.com/tg123/sshpiper/issues/60,NA
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/59,755269447,MDU6SXNzdWU3NTUyNjk0NDc=,59,execessive memory usage when running in production,8084342,closed,FALSE,NA,NA,3,2020-12-02T13:21:45Z,2020-12-03T16:24:49Z,2020-12-03T16:24:49Z,NONE,NA,"I'm using sshpiper in production. After some days, it takes gigabytes of memory.
After adding pprof to sshpiper, I saw one gouroutine waiting in `[chan send]` piling up for every closed ssh session.

I'm not that familiar with golang but I still tried to fix this issue: https://github.com/jalr/sshpiper.crypto/commit/87ea0e0100cbaf99fa65f24eccd7c1c825e83965
",NA,FALSE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/59/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/59/comments,https://api.github.com/repos/tg123/sshpiper/issues/59/events,https://github.com/tg123/sshpiper/issues/59,NA
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/58,751328927,MDU6SXNzdWU3NTEzMjg5Mjc=,58,"Install via snap fails on Ubuntu 20.04, 18.04",29494939,closed,FALSE,NA,NA,1,2020-11-26T06:40:43Z,2020-12-02T19:22:44Z,2020-12-02T19:22:44Z,NONE,NA,"Hello,

I've been trying to install via the snap on a few different Ubuntu boxes via the snap package.  I get error:

root@lxtester:~# snap install sshpiperd
error: cannot perform the following tasks:
- Run install hook of ""sshpiperd"" snap if present (run hook ""install"": /snap/sshpiperd/63/meta/hooks/install: 7: /snap/sshpiperd/63/meta/hooks/install: /snap/sshpiperd/63/sshpiperd: not found)

This boxes has very few snaps installed:

root@lxtester:~# snap list
Name    Version    Rev    Tracking       Publisher   Notes
core    16-2.47.1  10185  latest/stable  canonical*  core
core18  20200929   1932   latest/stable  canonical*  base
lxd     4.8        18402  latest/stable  canonical*  -
snapd   2.47.1     9721   latest/stable  canonical*  snapd

This the box running 18.04 which I happen to be logged into at the moment.  I think the error and installed snaps are identical on the other box running 20.04",NA,FALSE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/58/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/58/comments,https://api.github.com/repos/tg123/sshpiper/issues/58/events,https://github.com/tg123/sshpiper/issues/58,NA
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/57,736051918,MDU6SXNzdWU3MzYwNTE5MTg=,57,Ensure pipes loaded before serving,7437497,closed,FALSE,NA,NA,0,2020-11-04T11:50:07Z,2020-11-04T15:49:36Z,2020-11-04T15:49:36Z,NONE,NA,"Currently, if I use the yaml upstream, and provide a config, it can take up to 90s for the pipes to 'load'. I'd like to find a safe way to ensure that it's 'ready' before it begins listening, to avoid failed username mappings.

Is it possible to enforce that the upstreams must be fully loaded prior to opening the listener?

Where should I be looking to put that change?

(Again - I'll likely be raising as a PR - just not sure where to look/put the necessary)",NA,FALSE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/57/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/57/comments,https://api.github.com/repos/tg123/sshpiper/issues/57/events,https://github.com/tg123/sshpiper/issues/57,NA
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/56,728803405,MDU6SXNzdWU3Mjg4MDM0MDU=,56,SFTP Proxy Questions,7437497,closed,FALSE,NA,NA,1,2020-10-24T14:42:30Z,2020-11-04T11:47:15Z,2020-11-04T11:47:15Z,NONE,NA,"I have an upstream service running an SFTP server, which I can authenticate to using my private key (ie it has been provided the public key)

I'd like to be able to put sshpiper between me and this service; and have my private_key authenticate with the upstream SFTP server - but I'm getting upstream sftp authentication errors when going via sshpiper.

My yaml config is:
```
version: 1
pipes:
- username: robertgates
  username_regex_match: false
  upstream_host: sftp:8022
  ignore_hostkey: true
```

Is this expected?

Is this (passthrough) possible:
```
client | sshpiper | upstream
 PK_1  >   ...    >   PK_1
```

Or do I have to map the auth to a second keypair?:
```
client |   sshpiper  | upstream
 PK_1  > PK_1 | PK_2 >   PK_2
```",NA,FALSE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/56/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/56/comments,https://api.github.com/repos/tg123/sshpiper/issues/56/events,https://github.com/tg123/sshpiper/issues/56,NA
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/55,728793681,MDU6SXNzdWU3Mjg3OTM2ODE=,55,Graceful shutdown/hot reload,7437497,open,FALSE,NA,NA,3,2020-10-24T13:49:58Z,2020-10-30T19:34:49Z,NA,NONE,NA,"Is there any way to 'reload' sshpiper with a new pipes config? I'm using the yaml upstream_provider.

Alternatively is there a way to shut down sshpiper in such a way that it stops accepting new connections and waits until open sessions are closed?",NA,FALSE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/55/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/55/comments,https://api.github.com/repos/tg123/sshpiper/issues/55/events,https://github.com/tg123/sshpiper/issues/55,NA
tg123,sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/54,727149301,MDU6SXNzdWU3MjcxNDkzMDE=,54,Further information on username_regex_match upstream,7437497,closed,FALSE,NA,NA,2,2020-10-22T08:02:55Z,2020-10-24T13:47:57Z,2020-10-24T13:47:57Z,NONE,NA,"Hey - I think this project could be exactly what I'm after, but I'm struggling to configure it the way I need to.

```
steve@ ------>|            |     /---> upstream1.svc:22
              |  sshpiper  | ---+
dave@  ------>|            |     \---> upstream2.svc:22
```

Ideally, I'd like the upstreams themselves to be doing the hostkey verification - I'd like sshpiper to do as little as possible except route based on username.

What config is needed for this? I assume I need to create pipes using `/sshpiperd pipe add -n steve -u upstream1.svc` (& dave)?

If so, then how does the `sshpiperd.yaml` & `SSHPIPERD_UPSTREAM_YAML_FILE` affect the routing? I have:
sshpiperd.yaml

```
version: 1
pipes:
- username: ^dave.*$
  username_regex_match: true
  upstream_host: host2
  ignore_hostkey: true
- username: ^steve.*$
  username_regex_match: true
  upstream_host: host1
  ignore_hostkey: true
```
but I can't see that this is being used yet. Should passing the YAML file mean I don't have to run the `sshpiperd pipe add` commands?",NA,FALSE,https://api.github.com/repos/tg123/sshpiper,https://api.github.com/repos/tg123/sshpiper/issues/54/labels{/name},https://api.github.com/repos/tg123/sshpiper/issues/54/comments,https://api.github.com/repos/tg123/sshpiper/issues/54/events,https://github.com/tg123/sshpiper/issues/54,NA
