company,owner,repo,sex
github,brianlovin,security-checklist,male
github,BlakeWilliams,Elixir-Slack,male
github,BinaryMuse,fluxxor,female
github,cheshire137,competiwatch-desktop,female
github,cheshire137,soma-chrome,female
github,bswinnerton,launchbar-github,male
github,cschleiden,vscode-github-actions,male
github,cholick,idea-spock-enhancements,male
github,dcreager,libcork,male
github,eljog,agileboard-ui,male
github,GeekMasher,geekmasher.dev,male
github,hmarr,auto-approve-action,male
github,helaili,jekyll-action,male
github,hamelsmu,code_search,male
github,jamesmartin,inline_svg,male
github,izuzak,atom-pdf-view,male
github,jasonrudolph,keyboard,male
github,JasonEtco,actions-toolkit,male
github,JasonEtco,todo,male
github,jhawthorn,fzy,male
github,jhawthorn,discard,male
github,jfversluis,been-pwned,male
github,jfversluis,FilePicker-Plugin-for-Xamarin-and-Windows,male
github,kevinsawicki,http-request,male
github,keithamus,sort-package-json,male
github,leereilly,games,male
github,leereilly,swot,male
github,lee-dohm,tabs-to-spaces,male
github,laserlemon,figaro,male
github,lostintangent,gistpad,male
github,lostintangent,codeswing,male
github,lildude,phpSmug,male
github,lgarron,clipboard-polyfill,male
github,lgarron,folderify,male
github,mdo,code-guide,male
github,mdo,github-buttons,male
github,lvivski,start,unsure
github,lvivski,animatic,unsure
github,mikrobi,babel,male
github,mhagger,git-imerge,male
github,NateRickard,Plugin.AudioRecorder,male
github,ptoomey3,Keychain-Dumper,male
github,pmarsceill,just-the-docs,male
github,rmosolgo,graphql-ruby,male
github,seejohnrun,haste-server,unsure
github,seejohnrun,ice_cube,unsure
github,seveas,python-networkmanager,male
github,seveas,git-spindle,male
github,seveas,python-hpilo,male
github,technicalpickles,jeweler,male
github,zeke,semantic-pull-requests,male
google,0xfe,vexflow,male
google,0xfe,vextab,male
google,agl,jbig2enc,male
google,agl,xmpp-client,male
google,agl,pond,male
google,ahmetb,kubernetes-network-policy-recipes,male
google,ahmetb,go-linq,male
google,ahmetb,kubectx,male
google,ardagnir,athame,male
google,beaufortfrancois,download-chromium,male
google,bcoe,c8,male
google,benvanik,WebGL-Inspector,male
google,blasten,turn.js,male
google,ChrisAntaki,disable-webrtc-firefox,unsure
google,Conchylicultor,DeepQA,male
google,cweill,gotests,male
google,danijar,handout,male
google,danrevah,ngx-pipes,unsure
google,davidsansome,tsurukame,male
google,deiger,AirCon,unsure
google,developit,mitt,male
google,developit,microbundle,male
google,developit,htm,male
google,dmotz,oriDomi,male
google,dmotz,natal,male
google,donmccurdy,three-gltf-viewer,male
google,donmccurdy,three-pathfinding,male
google,dustin,go-humanize,male
google,eliben,pyelftools,male
google,eliben,pycparser,male
google,elharo,xom,male
google,ericchiang,k8s,male
google,ericchiang,pup,male
google,farcaller,DashDoc,unsure
google,filiph,linkcheck,male
google,FiloSottile,yubikey-agent,male
google,FiloSottile,Heartbleed,male
google,FiloSottile,age,male
google,FiloSottile,mkcert,male
google,gaul,s3proxy,unsure
google,gaul,modernizer-maven-plugin,unsure
google,hanwen,go-mtpfs,male
google,hanwen,go-fuse,male
google,hibiken,asynq,male
google,housseindjirdeh,angular2-hn,male
google,jakearchibald,sprite-cow,male
google,jakearchibald,idb-keyval,male
google,jakearchibald,idb,male
google,jakearchibald,svgomg,male
google,JayXon,Leanify,unsure
google,jasonmayes,Twitter-Post-Fetcher,male
google,jaredsburrows,gradle-license-plugin,male
google,jpatokal,openflights,male
google,jpatokal,mediawiki-gateway,male
google,jrtom,jung,male
google,JustinBeckwith,linkinator,male
google,JustinBeckwith,retry-axios,male
google,Kashomon,glift,male
google,karan,joe,male
google,karan,Projects,male
google,kentonl,e2e-coref,unsure
google,lucasb-eyer,pydensecrf,male
google,mangini,gdocs2md,male
google,maruel,panicparse,male
google,mattjj,pyhsmm,male
google,mathiasbynens,he,male
google,mathiasbynens,dotfiles,male
google,mgechev,revive,male
google,mgechev,angular-seed,male
google,mgechev,javascript-algorithms,male
google,mihnita,ansi-econsole,male
google,natebosch,vim-lsc,male
google,NeilFraser,JS-Interpreter,male
google,nickdesaulniers,node-nanomsg,male
google,NicholasAzar,ng-selectize,male
google,nixprime,cpsm,unsure
google,not-an-aardvark,snoowrap,male
google,paulirish,git-open,male
google,PierfrancescoSoffritti,android-youtube-player,male
google,philipwalton,flexbugs,male
google,philipwalton,solved-by-flexbox,male
google,prideout,par,male
google,ryanmcdermott,clean-code-javascript,male
google,schachmat,wego,unsure
google,sebastianbenz,Jnario,male
google,sebastianbenz,eclipse-task-editor,male
google,slightlyoff,Promises,male
google,stephenmcd,cartridge,unsure
google,stephenmcd,django-forms-builder,unsure
