owner,repo,checked_at,etag,sex
yrosseel,lavaan,2020-07-26T19:44:31Z,"W/""5a062ed22bffaa81953be8491ae993bc""",male
rmcelreath,rethinking,2020-07-26T19:44:40Z,"W/""d56abaf526f61d4aeee46b09c4cdd70a""",male
thibautjombart,adegenet,2020-07-26T19:44:49Z,"W/""58bdaf72a1bb64d632956b7a0176aa00""",male
KlausVigo,phangorn,2020-07-26T19:44:52Z,"W/""a55d9de204abeedb7700cf9d0bd639c7""",male
liamrevell,phytools,2020-07-26T19:44:54Z,"W/""556217458a64ce4efafc8c5ea4b71062""",male
susanathey,causalTree,2020-07-26T19:44:56Z,"W/""dcbcfb95e0e69ca2f0faa2e377b91773""",female
malcolmbarrett,ggdag,2020-07-26T19:44:57Z,"W/""0f08152283b77f3f115d47bbb4c971cc""",male
nassarhuda,MatrixNetworks.jl,2020-07-26T19:44:59Z,"W/""865c7152c2088d1b22182d611ae86d5c""",unsure
jcjohnson,torch-rnn,2020-07-26T19:45:06Z,"W/""2829c9b00a65a463063b8dc3e6b215ef""",male
ronisbr,PrettyTables.jl,2020-07-26T19:45:08Z,"W/""b919a61ee9d5dcd56f6af597bf451d4d""",male
rich-iannone,DiagrammeR,2020-07-26T19:45:23Z,"W/""d02a18d2ea957a1b0268908e5d29f347""",male
ageitgey,face_recognition,2020-07-26T19:45:56Z,"W/""3de628417c4553d50ac6353c06fa7bda""",male
yu4u,age-gender-estimation,2020-07-26T19:46:00Z,"W/""77fec4973bd29859d3ad4dd39d148419""",male
barryclark,jekyll-now,2020-07-26T19:46:55Z,"W/""3ae35b294f153070fdfbe301658a51e8""",male
jbrooksuk,node-summary,2020-07-26T19:46:57Z,"W/""a776baac086b264ee3a74e4f030ea85a""",male
gabrielecirulli,2048,2020-07-26T19:47:12Z,"W/""f5ba2cf550f30920c1f2c7a7152d2836""",male
patbenatar,vscode-advanced-new-file,2020-07-26T19:47:15Z,"W/""37d09216411c7b4a912198d7ad8ca648""",unsure
JacksonGariety,gulp-nodemon,2020-07-26T19:47:20Z,"W/""2242d4b15664bfa91efdc07bf73261a6""",male
gitawego,cordova-screenshot,2020-07-26T19:47:24Z,"W/""30a2267d2c260d8964a2c84af264e3ba""",unsure
fatiherikli,brainfuck-visualizer,2020-07-26T19:47:26Z,"W/""63638918b68a9697e80451eaf88e1543""",unsure
jakubroztocil,httpie,2020-07-26T19:47:55Z,"W/""5f4d1e561272fd664768c5907a254d82""",unsure
kirill-konshin,next-redux-wrapper,2020-07-26T19:48:03Z,"W/""f28a232d0daf4dae1a979a012deb000c""",male
nvbn,thefuck,2020-07-26T19:48:39Z,"W/""ca0c9c6450e0be50c9c9ed51e223e886""",male
joshuaulrich,quantmod,2020-07-26T19:48:49Z,"W/""13337289a24827d9f93a918976399a2d""",male
zaqqaz,jest-allure,2020-07-26T19:48:51Z,"W/""137a3b0a20e383ee9c8bc57052b755c8""",male
ismailhabib,custom-protocol-detection,2020-07-26T19:48:52Z,"W/""1c01b1f7e68d067abc4e97274880e886""",male
gregberge,svgr,2020-07-26T19:49:07Z,"W/""f6c33c06b1e8db69d917b19df5136c04""",male
mjackson,unpkg,2020-07-26T19:49:15Z,"W/""fd571419f041230c66b85bf811f51e53""",male
sindresorhus,generator-nm,2020-07-26T19:49:17Z,"W/""a4255018a86c9fec0db9f39e42397f40""",male
jantimon,html-webpack-plugin,2020-07-26T19:50:17Z,"W/""3f5ce2d07669610fff2513539f24f1ef""",male
bubenshchykov,ngrok,2020-07-26T19:50:23Z,"W/""2b0c73625fe2e16baa6f238e9408d754""",male
mmiller42,html-webpack-externals-plugin,2020-07-26T19:50:25Z,"W/""09363e9cc2f8555d66d5233860d25f37""",male
selaux,eslint-plugin-filenames,2020-07-26T19:50:27Z,"W/""dc0b5803b38727b591da251943be22de""",male
faceyspacey,babel-plugin-universal-import,2020-07-26T19:50:31Z,"W/""261696e1cdca62978f18a38ef75c0866""",male
jdalton,docdown,2020-07-26T19:50:33Z,"W/""94fea17233d796e4f1cf690f55ef1c5d""",male
