owner_login,name,etag
yrosseel,lavaan,"W/""259082d7c40fc43a18a242ce62583aa2"""
rmcelreath,rethinking,"W/""6f16cdb7d083da497a79863b6236ff38"""
thibautjombart,adegenet,"W/""c63ba1b60f425ff4231a37e9517fe691"""
KlausVigo,phangorn,"W/""646575e82f8b55137bb84269d7b5f97c"""
liamrevell,phytools,"W/""5635c111cdbaaff5571480b336d3b14c"""
susanathey,causalTree,"W/""079b2e4403fc9e12d197a1ca676fdba5"""
malcolmbarrett,ggdag,"W/""ec1a06c160f170d75ac673010b9cea6e"""
nassarhuda,MatrixNetworks.jl,"W/""ec5ec0b5001412fee886b060214c8f79"""
jcjohnson,torch-rnn,"W/""0e15951d6be14c3c559ae5d426c4b549"""
ronisbr,PrettyTables.jl,"W/""86ee023137f39fd24c61385712ad99de"""
rich-iannone,DiagrammeR,"W/""ab54f6d5272831f236b50321f924a8f8"""
ageitgey,face_recognition,"W/""538deb4c1ee745c6eac9d3a32a3af7fe"""
yu4u,age-gender-estimation,"W/""ff367adb1db7b2d169e71191e3e29938"""
barryclark,jekyll-now,"W/""67ce1064ccaf682c065e9dabcab0f9dd"""
jbrooksuk,node-summary,"W/""f94e4a1ecaeed20305c1b8b7deed47e5"""
gabrielecirulli,2048,"W/""dcae3db491bc86ca57c3811fbe95fab3"""
patbenatar,vscode-advanced-new-file,"W/""4ded45d6763f5c9fbed6f9165120e1ca"""
JacksonGariety,gulp-nodemon,"W/""c3652eff22aa7d43efe87b988b96d70e"""
gitawego,cordova-screenshot,"W/""ab0806f39cef8c3087406c3981de331d"""
fatiherikli,brainfuck-visualizer,"W/""aa348c91a3f0319f4fe8e5e3ebe15d5a"""
jakubroztocil,httpie,"W/""ae53cb2a2a8adca68b81faa93a707e67"""
kirill-konshin,next-redux-wrapper,"W/""71463086992fa6aa2252ccef3bec405a"""
nvbn,thefuck,"W/""a34845d8f412e5d4a85d510b7c3d1408"""
joshuaulrich,quantmod,"W/""a291a82d4ded6446d3992e665f5d9d20"""
zaqqaz,jest-allure,"W/""7dd74647016996c7d345f72527b7a6c2"""
ismailhabib,custom-protocol-detection,"W/""23f62b3986c52c3ce08c3dc50835a888"""
gregberge,svgr,"W/""cda366850bcbd56eab39d391ddea7a8d"""
mjackson,unpkg,"W/""b11bf19092c41c8e254571d336e50a41"""
sindresorhus,generator-nm,"W/""74695a17da664c0aca0383a72a5d4c81"""
jantimon,html-webpack-plugin,"W/""54ec1c2da274aab3ab8c3ebac6e46f18"""
bubenshchykov,ngrok,"W/""c50b1c32a86a3b251eb113f3a17fbaa8"""
mmiller42,html-webpack-externals-plugin,"W/""2e098b82dcdaf3d9aaad21a92f398653"""
selaux,eslint-plugin-filenames,"W/""48702b2814d1df7b75c25ed8e13ca4e4"""
faceyspacey,babel-plugin-universal-import,"W/""a7253b70a1a1b7888d1363652d69640f"""
jdalton,docdown,"W/""00f2e2ec9067a75f6ab0ede963d00c59"""
