owner,repo,checked_at,etag
yrosseel,lavaan,2020-07-01T01:33:18Z,"W/""d0e78f40da4cc8cab5e1587d81977285"""
rmcelreath,rethinking,2020-07-01T01:33:27Z,"W/""00d24eff2485fc5bd2fe5a69bace3b66"""
thibautjombart,adegenet,2020-07-01T01:33:31Z,"""02e1eb8e6406339745254a60bb61f4e8"""
KlausVigo,phangorn,2020-07-01T01:33:34Z,"W/""85cf39bd168e64090deeda5ceb2f0c4a"""
liamrevell,phytools,2020-07-01T01:33:37Z,"W/""92e552aff7f5d49794689151d23ffdaa"""
susanathey,causalTree,2020-07-01T01:33:38Z,"""caf6dfa51c3e139e11a3d7119ada7bda"""
malcolmbarrett,ggdag,2020-07-01T01:33:39Z,"""0f29ce86a5db7d83bcd49851cb45062f"""
nassarhuda,MatrixNetworks.jl,2020-07-01T01:33:39Z,"""0981dd4f27766dbc63f6807745936b5b"""
jcjohnson,torch-rnn,2020-07-01T01:33:43Z,"""a1d7033bc8f3ff653ce8b7ea40e4f399"""
ronisbr,PrettyTables.jl,2020-07-01T01:33:44Z,"""18160e81009dd3a42e2cb77a69b50915"""
rich-iannone,DiagrammeR,2020-07-01T01:34:00Z,"W/""7fb01733a38626b76c30726c3f2f25ff"""
ageitgey,face_recognition,2020-07-01T01:34:39Z,"W/""05635db008676a8c489acd32def5032a"""
yu4u,age-gender-estimation,2020-07-01T01:34:43Z,"W/""cd995bad23361f3e2904475eca38a30d"""
barryclark,jekyll-now,2020-07-01T01:35:52Z,"W/""f73679dc5449cfb64ee0db22e1495821"""
jbrooksuk,node-summary,2020-07-01T01:35:54Z,"W/""2c3bc1a5cf391251546bec8a673951fd"""
gabrielecirulli,2048,2020-07-01T01:36:03Z,"""13b2ea600fe38c58f173678f4d27a686"""
patbenatar,vscode-advanced-new-file,2020-07-01T01:36:06Z,"W/""cd5d216ec4877bb8e5848d1d5a95f262"""
JacksonGariety,gulp-nodemon,2020-07-01T01:36:09Z,"""2a60c14074b114be6b0de8621f96e843"""
gitawego,cordova-screenshot,2020-07-01T01:36:16Z,"""9fc50a8339b5b9adc6286b7f380ded06"""
fatiherikli,brainfuck-visualizer,2020-07-01T01:36:17Z,"W/""654d9b27df14aac3245e1c640c3bd16b"""
jakubroztocil,httpie,2020-07-01T01:36:51Z,"W/""4d1d4770c9793e25cd241138ac20418d"""
kirill-konshin,next-redux-wrapper,2020-07-01T01:37:00Z,"W/""9946ae93e48f334693a03ae921fac5a1"""
nvbn,thefuck,2020-07-01T01:37:40Z,"W/""490a88849e7122e0f2465dda0ab348b3"""
joshuaulrich,quantmod,2020-07-01T01:37:53Z,"W/""b48c520b4058e1d78566866aeaa1b8f9"""
zaqqaz,jest-allure,2020-07-01T01:37:54Z,"""3924ff661e162ff3afca9dd4bf804155"""
ismailhabib,custom-protocol-detection,2020-07-01T01:37:55Z,"""5c99d0712a84a25b8efdfb237f3a7ee0"""
gregberge,svgr,2020-07-01T01:38:14Z,"W/""502edc0992bc4d9e43bda995b0ff65c5"""
mjackson,unpkg,2020-07-01T01:38:24Z,"W/""268544fb440a20f3ae7a9a20fdd1bf4a"""
sindresorhus,generator-nm,2020-07-01T01:38:25Z,"""4a84c9db5512f95a4ec90065586d33fa"""
jantimon,html-webpack-plugin,2020-07-01T01:39:32Z,"W/""baa980d46d9230a778af5cd16e74a51b"""
bubenshchykov,ngrok,2020-07-01T01:39:39Z,"W/""2f2155db5e87ab0fe388ed844fe71f66"""
mmiller42,html-webpack-externals-plugin,2020-07-01T01:39:40Z,"""b47548912b2f8d425003baf7d0effbbe"""
selaux,eslint-plugin-filenames,2020-07-01T01:39:40Z,"""624db0d09c3a27010265b7d6016e5dc2"""
faceyspacey,babel-plugin-universal-import,2020-07-01T01:39:43Z,"""dc1c41b6c36066f94201934c0120b609"""
jdalton,docdown,2020-07-01T01:39:43Z,"""c8d6f8850432c33ac5d4e2c818391665"""
ropensci,rtweet,2020-07-01T01:39:58Z,"W/""1fe229525f4775736cf53dc71f4793d7"""
