owner,repo,etag
yrosseel,lavaan,"""e1b5dea8186bcb26eab352c0a8b49943"""
rmcelreath,rethinking,"""3f7a8617bc749b0d02289ad672a93838"""
thibautjombart,adegenet,"""ad0dc9d46bd4bd00cd7c43f731d73cc8"""
KlausVigo,phangorn,"W/""49e95cac21e4662728ca867f593937b8"""
liamrevell,phytools,"W/""4c4cc8404fd22b7d44e165d7696f3ec1"""
susanathey,causalTree,"""26bbec7241844083aec4e13701d5b2c2"""
malcolmbarrett,ggdag,"""4e416a6377b716b918567526a9ac566d"""
nassarhuda,MatrixNetworks.jl,"""cc772797f7c6c7007abce5792403bebe"""
jcjohnson,torch-rnn,"""29e80fa49b8cbde5c77d72f38b2b6112"""
ronisbr,PrettyTables.jl,"""a19f699d9e42a0f676c7e6804b23da5b"""
rich-iannone,DiagrammeR,"""f21afa5d04bbc106d74ed52257b7b9ae"""
ageitgey,face_recognition,"""841aa1a2530a9447c8bbc28bfd2a1dcb"""
yu4u,age-gender-estimation,"""bee1d8bda137cee2cd1fa2bdf760a2de"""
barryclark,jekyll-now,"""080e23f128d87738313b81254bf63f2e"""
jbrooksuk,node-summary,"""6d496cfe0bd71b11bdfb27574ff69814"""
gabrielecirulli,2048,"""d474c94a5323c0c2eab359d70e88b577"""
patbenatar,vscode-advanced-new-file,"W/""2eca61036b7c2dfafacbce02e442a4c7"""
JacksonGariety,gulp-nodemon,"""6b9439cc509d939a3c555ac56b532189"""
gitawego,cordova-screenshot,"""122c8addb2a6a6dcc1184e3b5513bf21"""
fatiherikli,brainfuck-visualizer,"""24e7ae478a6a6ac09c5876938f8c1639"""
jakubroztocil,httpie,"W/""1fbc609d326e969d3dbfeb19bca9f989"""
kirill-konshin,next-redux-wrapper,"""e92fff82026a5b7580646e48b83dd2f9"""
nvbn,thefuck,"""e319e3dd246ed5ef1e24dda492c609ca"""
joshuaulrich,quantmod,"W/""3b1e812415ca44bbaf320195080e4cc4"""
zaqqaz,jest-allure,"""12078e33e9212021f0a506a2e857fee9"""
ismailhabib,custom-protocol-detection,"""605fe87d1ca263db95efcaec10ebf4ca"""
gregberge,svgr,"W/""18b12351211a3c015b809d80b717c306"""
mjackson,unpkg,"""ee13479932d3a46e059cad3d8a24bfdf"""
sindresorhus,generator-nm,"""98532e76f5cb0b37236dddeed728a2c5"""
jantimon,html-webpack-plugin,"W/""4b40d06e7884a8c0c5b1331f707ce6c6"""
bubenshchykov,ngrok,"""982ab79840d9fb5e732564939a354d7e"""
mmiller42,html-webpack-externals-plugin,"W/""0706f45a6840af30088e31cfcfe4429f"""
selaux,eslint-plugin-filenames,"""4f8454d7d504aeb8c947de4dc5d81de1"""
faceyspacey,babel-plugin-universal-import,"W/""df2ffda6f051a33490bcbd3c1c8728ba"""
jdalton,docdown,"""20a9b4e21b0252d156209b6a5ba19de9"""
ropensci,rtweet,"""13de06a2c81591cf8c5af20496a3ea89"""
