owner_login,name,etag
yrosseel,lavaan,"W/""efb10c993d485c71b23e50189eb5d244"""
rmcelreath,rethinking,"W/""6ba7e7b80750313f8829dc805b4d50ac"""
thibautjombart,adegenet,"W/""334ad46b4c0f5036226b03bc2d7d838c"""
KlausVigo,phangorn,"W/""877fd11073f6e267ae58609bfba46085"""
liamrevell,phytools,"W/""0ce30aed2d785e46a3a62cb47dce4fc2"""
susanathey,causalTree,"W/""4f5307f1862d7c3ba8376d1f5e2b0346"""
malcolmbarrett,ggdag,"W/""4b6f983795fd1aa70b0126951e38e464"""
nassarhuda,MatrixNetworks.jl,"W/""8742fddec9a898c60a873c00a69dd2ba"""
jcjohnson,torch-rnn,"W/""1901023d589c060ce2db272ef77329a6"""
ronisbr,PrettyTables.jl,"W/""d89208ad6fadc2ae39b2a2f1e75f6279"""
rich-iannone,DiagrammeR,"W/""ab2e3fd6322fb09bcb54893f3a43efc7"""
ageitgey,face_recognition,"W/""623be8ed42078ce5ca42d783f52f07df"""
yu4u,age-gender-estimation,"W/""aad67ed7d4da448a514c62c8544046c8"""
barryclark,jekyll-now,"W/""9e6f6f837fe9e41a60af93fc7cb9fe19"""
jbrooksuk,node-summary,"W/""f0f3b0f6b9aa34f13500b9875c8d35c3"""
gabrielecirulli,2048,"W/""82705f7ec4cc460a42785e1fd5dcc36d"""
patbenatar,vscode-advanced-new-file,"W/""bc5b09aa4c76bdb129dba398af33a3ff"""
JacksonGariety,gulp-nodemon,"W/""4108966abe9cb8b7caab6ae7dd9728a9"""
gitawego,cordova-screenshot,"W/""ebdc692d1284e29fb5674105d818504d"""
fatiherikli,brainfuck-visualizer,"W/""364857709094e377ae95dd5a06b827ae"""
jakubroztocil,httpie,"W/""54afe44340d2d6997ffdfc1723f2bf49"""
kirill-konshin,next-redux-wrapper,"W/""18f37d46ed25fa7f56dc1d4f3886b08c"""
nvbn,thefuck,"W/""25007740d5a0689f83ac514acdd1aa92"""
joshuaulrich,quantmod,"W/""9365b6fa5be0aa91fed8ccc1bab54a11"""
zaqqaz,jest-allure,"W/""976260c6149c6079bb3768f4779a09f1"""
ismailhabib,custom-protocol-detection,"W/""3af2f469195c690f3b6d7350575f6e4e"""
gregberge,svgr,"W/""6be4a55f4759b1151e36ced63a70a921"""
mjackson,unpkg,"W/""dc9974e999017d346fcc064bab83af7e"""
sindresorhus,generator-nm,"W/""e820e5f927a0fc3d3036fc072291b831"""
jantimon,html-webpack-plugin,"W/""867a0b0a41ccfbbce364de5d783b760a"""
bubenshchykov,ngrok,"W/""dab42ff2f6562f9f51839dfa934021bb"""
mmiller42,html-webpack-externals-plugin,"W/""3024dc4d2e79a74ade1800f97b40eaff"""
selaux,eslint-plugin-filenames,"W/""132a81784c57f45450c138bea863818b"""
faceyspacey,babel-plugin-universal-import,"""29e9fbf706e5bb5476965eb266bf846e"""
jdalton,docdown,"W/""80530370225c462055d265b9dfeb3852"""
ropensci,rtweet,"W/""28dad37cd1c040758acadbd9d6b9b345"""
