owner,repo,login,id,node_id,gravatar_id,url,type,site_admin,contributions,avatar_url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url
yrosseel,lavaan,yrosseel,755419,MDQ6VXNlcjc1NTQxOQ==,,https://api.github.com/users/yrosseel,User,FALSE,1448,https://avatars2.githubusercontent.com/u/755419?v=4,https://github.com/yrosseel,https://api.github.com/users/yrosseel/followers,https://api.github.com/users/yrosseel/following{/other_user},https://api.github.com/users/yrosseel/gists{/gist_id},https://api.github.com/users/yrosseel/starred{/owner}{/repo},https://api.github.com/users/yrosseel/subscriptions,https://api.github.com/users/yrosseel/orgs,https://api.github.com/users/yrosseel/repos,https://api.github.com/users/yrosseel/events{/privacy},https://api.github.com/users/yrosseel/received_events
yrosseel,lavaan,TDJorgensen,1742258,MDQ6VXNlcjE3NDIyNTg=,,https://api.github.com/users/TDJorgensen,User,FALSE,72,https://avatars0.githubusercontent.com/u/1742258?v=4,https://github.com/TDJorgensen,https://api.github.com/users/TDJorgensen/followers,https://api.github.com/users/TDJorgensen/following{/other_user},https://api.github.com/users/TDJorgensen/gists{/gist_id},https://api.github.com/users/TDJorgensen/starred{/owner}{/repo},https://api.github.com/users/TDJorgensen/subscriptions,https://api.github.com/users/TDJorgensen/orgs,https://api.github.com/users/TDJorgensen/repos,https://api.github.com/users/TDJorgensen/events{/privacy},https://api.github.com/users/TDJorgensen/received_events
yrosseel,lavaan,michaelhallquist,284491,MDQ6VXNlcjI4NDQ5MQ==,,https://api.github.com/users/michaelhallquist,User,FALSE,14,https://avatars3.githubusercontent.com/u/284491?v=4,https://github.com/michaelhallquist,https://api.github.com/users/michaelhallquist/followers,https://api.github.com/users/michaelhallquist/following{/other_user},https://api.github.com/users/michaelhallquist/gists{/gist_id},https://api.github.com/users/michaelhallquist/starred{/owner}{/repo},https://api.github.com/users/michaelhallquist/subscriptions,https://api.github.com/users/michaelhallquist/orgs,https://api.github.com/users/michaelhallquist/repos,https://api.github.com/users/michaelhallquist/events{/privacy},https://api.github.com/users/michaelhallquist/received_events
yrosseel,lavaan,LeonardV,1713124,MDQ6VXNlcjE3MTMxMjQ=,,https://api.github.com/users/LeonardV,User,FALSE,8,https://avatars1.githubusercontent.com/u/1713124?v=4,https://github.com/LeonardV,https://api.github.com/users/LeonardV/followers,https://api.github.com/users/LeonardV/following{/other_user},https://api.github.com/users/LeonardV/gists{/gist_id},https://api.github.com/users/LeonardV/starred{/owner}{/repo},https://api.github.com/users/LeonardV/subscriptions,https://api.github.com/users/LeonardV/orgs,https://api.github.com/users/LeonardV/repos,https://api.github.com/users/LeonardV/events{/privacy},https://api.github.com/users/LeonardV/received_events
yrosseel,lavaan,ecmerkle,4818626,MDQ6VXNlcjQ4MTg2MjY=,,https://api.github.com/users/ecmerkle,User,FALSE,3,https://avatars2.githubusercontent.com/u/4818626?v=4,https://github.com/ecmerkle,https://api.github.com/users/ecmerkle/followers,https://api.github.com/users/ecmerkle/following{/other_user},https://api.github.com/users/ecmerkle/gists{/gist_id},https://api.github.com/users/ecmerkle/starred{/owner}{/repo},https://api.github.com/users/ecmerkle/subscriptions,https://api.github.com/users/ecmerkle/orgs,https://api.github.com/users/ecmerkle/repos,https://api.github.com/users/ecmerkle/events{/privacy},https://api.github.com/users/ecmerkle/received_events
yrosseel,lavaan,machow,2574498,MDQ6VXNlcjI1NzQ0OTg=,,https://api.github.com/users/machow,User,FALSE,2,https://avatars3.githubusercontent.com/u/2574498?v=4,https://github.com/machow,https://api.github.com/users/machow/followers,https://api.github.com/users/machow/following{/other_user},https://api.github.com/users/machow/gists{/gist_id},https://api.github.com/users/machow/starred{/owner}{/repo},https://api.github.com/users/machow/subscriptions,https://api.github.com/users/machow/orgs,https://api.github.com/users/machow/repos,https://api.github.com/users/machow/events{/privacy},https://api.github.com/users/machow/received_events
yrosseel,lavaan,philchalmers,1274464,MDQ6VXNlcjEyNzQ0NjQ=,,https://api.github.com/users/philchalmers,User,FALSE,2,https://avatars3.githubusercontent.com/u/1274464?v=4,https://github.com/philchalmers,https://api.github.com/users/philchalmers/followers,https://api.github.com/users/philchalmers/following{/other_user},https://api.github.com/users/philchalmers/gists{/gist_id},https://api.github.com/users/philchalmers/starred{/owner}{/repo},https://api.github.com/users/philchalmers/subscriptions,https://api.github.com/users/philchalmers/orgs,https://api.github.com/users/philchalmers/repos,https://api.github.com/users/philchalmers/events{/privacy},https://api.github.com/users/philchalmers/received_events
yrosseel,lavaan,jrmie,39067995,MDQ6VXNlcjM5MDY3OTk1,,https://api.github.com/users/jrmie,User,FALSE,1,https://avatars1.githubusercontent.com/u/39067995?v=4,https://github.com/jrmie,https://api.github.com/users/jrmie/followers,https://api.github.com/users/jrmie/following{/other_user},https://api.github.com/users/jrmie/gists{/gist_id},https://api.github.com/users/jrmie/starred{/owner}{/repo},https://api.github.com/users/jrmie/subscriptions,https://api.github.com/users/jrmie/orgs,https://api.github.com/users/jrmie/repos,https://api.github.com/users/jrmie/events{/privacy},https://api.github.com/users/jrmie/received_events
yrosseel,lavaan,KevCaz,1583534,MDQ6VXNlcjE1ODM1MzQ=,,https://api.github.com/users/KevCaz,User,FALSE,1,https://avatars1.githubusercontent.com/u/1583534?v=4,https://github.com/KevCaz,https://api.github.com/users/KevCaz/followers,https://api.github.com/users/KevCaz/following{/other_user},https://api.github.com/users/KevCaz/gists{/gist_id},https://api.github.com/users/KevCaz/starred{/owner}{/repo},https://api.github.com/users/KevCaz/subscriptions,https://api.github.com/users/KevCaz/orgs,https://api.github.com/users/KevCaz/repos,https://api.github.com/users/KevCaz/events{/privacy},https://api.github.com/users/KevCaz/received_events
rmcelreath,rethinking,rmcelreath,3230381,MDQ6VXNlcjMyMzAzODE=,,https://api.github.com/users/rmcelreath,User,FALSE,128,https://avatars2.githubusercontent.com/u/3230381?v=4,https://github.com/rmcelreath,https://api.github.com/users/rmcelreath/followers,https://api.github.com/users/rmcelreath/following{/other_user},https://api.github.com/users/rmcelreath/gists{/gist_id},https://api.github.com/users/rmcelreath/starred{/owner}{/repo},https://api.github.com/users/rmcelreath/subscriptions,https://api.github.com/users/rmcelreath/orgs,https://api.github.com/users/rmcelreath/repos,https://api.github.com/users/rmcelreath/events{/privacy},https://api.github.com/users/rmcelreath/received_events
