degree,degree_id,degree_level,total,file,term,year,term_numeric,time
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,27,fall2009.xlsx,fall,2009,2,1
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,28,spring2010.xlsx,spring,2010,0,2
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,24,summer2010.xlsx,summer,2010,1,3
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,33,fall2010.xlsx,fall,2010,2,4
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,33,spring2011.xlsx,spring,2011,0,5
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,21,summer2011.xlsx,summer,2011,1,6
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,40,fall2011.xlsx,fall,2011,2,7
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,35,spring2012.xlsx,spring,2012,0,8
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,28,summer2012.xlsx,summer,2012,1,9
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,40,fall2012.xlsx,fall,2012,2,10
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,39,spring2013.xlsx,spring,2013,0,11
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,24,summer2013.xlsx,summer,2013,1,12
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,46,fall2013.xlsx,fall,2013,2,13
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,45,spring2014.xlsx,spring,2014,0,14
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,27,summer2014.xlsx,summer,2014,1,15
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,48,fall2014.xlsx,fall,2014,2,16
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,44,spring2015.xlsx,spring,2015,0,17
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,26,summer2015.xlsx,summer,2015,1,18
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,44,fall2015.xlsx,fall,2015,2,19
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,40,spring2016.xlsx,spring,2016,0,20
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,19,summer2016.xlsx,summer,2016,1,21
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,45,fall2016.xlsx,fall,2016,2,22
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,40,spring2017.xlsx,spring,2017,0,23
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,20,summer2017.xlsx,summer,2017,1,24
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,50,fall2017.xlsx,fall,2017,2,25
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,50,spring2018.xlsx,spring,2018,0,26
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,20,summer2018.xlsx,summer,2018,1,27
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,50,fall2018.xlsx,fall,2018,2,28
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,47,spring2019.xlsx,spring,2019,0,29
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,22,summer2019.xlsx,summer,2019,1,30
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,52,fall2019.xlsx,fall,2019,2,31
"College of Agriculture-Ag, Food & Resource Economics",5321,PHD,47,spring2020.xlsx,spring,2020,0,32
College of Agriculture-Agricultural & Extension Ed,0143,PHD,13,summer1994.xlsx,summer,1994,1,1
College of Agriculture-Agricultural & Extension Ed,0143,PHD,26,fall1994.xlsx,fall,1994,2,2
College of Agriculture-Agricultural & Extension Ed,0143,PHD,29,spring1995.xlsx,spring,1995,0,3
College of Agriculture-Agricultural & Extension Ed,0143,PHD,20,summer1995.xlsx,summer,1995,1,4
College of Agriculture-Agricultural & Extension Ed,0143,PHD,34,fall1995.xlsx,fall,1995,2,5
College of Agriculture-Agricultural & Extension Ed,0143,PHD,33,spring1996.xlsx,spring,1996,0,6
College of Agriculture-Agricultural & Extension Ed,0143,PHD,14,summer1996.xlsx,summer,1996,1,7
College of Agriculture-Agricultural & Extension Ed,0143,PHD,23,fall1996.xlsx,fall,1996,2,8
College of Agriculture-Agricultural & Extension Ed,0143,PHD,24,spring1997.xlsx,spring,1997,0,9
College of Agriculture-Agricultural & Extension Ed,0143,PHD,11,summer1997.xlsx,summer,1997,1,10
College of Agriculture-Agricultural & Extension Ed,0143,PHD,19,fall1997.xlsx,fall,1997,2,11
College of Agriculture-Agricultural & Extension Ed,0143,PHD,18,spring1998.xlsx,spring,1998,0,12
College of Agriculture-Agricultural & Extension Ed,0143,PHD,8,summer1998.xlsx,summer,1998,1,13
College of Agriculture-Agricultural & Extension Ed,0143,PHD,18,fall1998.xlsx,fall,1998,2,14
College of Agriculture-Agricultural & Extension Ed,0143,PHD,14,spring1999.xlsx,spring,1999,0,15
College of Agriculture-Agricultural & Extension Ed,0143,PHD,9,summer1999.xlsx,summer,1999,1,16
College of Agriculture-Agricultural & Extension Ed,0143,PHD,19,fall1999.xlsx,fall,1999,2,17
College of Agriculture-Agricultural & Extension Ed,0143,PHD,16,spring2000.xlsx,spring,2000,0,18
College of Agriculture-Agricultural & Extension Ed,0143,PHD,13,summer2000.xlsx,summer,2000,1,19
College of Agriculture-Agricultural & Extension Ed,0143,PHD,17,fall2000.xlsx,fall,2000,2,20
College of Agriculture-Agricultural & Extension Ed,0143,PHD,15,spring2001.xlsx,spring,2001,0,21
College of Agriculture-Agricultural & Extension Ed,0143,PHD,9,summer2001.xlsx,summer,2001,1,22
College of Agriculture-Agricultural & Extension Ed,0143,PHD,18,fall2001.xlsx,fall,2001,2,23
College of Agriculture-Agricultural & Extension Ed,0143,PHD,15,spring2002.xlsx,spring,2002,0,24
College of Agriculture-Agricultural & Extension Ed,0143,PHD,10,summer2002.xlsx,summer,2002,1,25
College of Agriculture-Agricultural & Extension Ed,0143,PHD,17,fall2002.xlsx,fall,2002,2,26
College of Agriculture-Agricultural & Extension Ed,0143,PHD,13,spring2003.xlsx,spring,2003,0,27
College of Agriculture-Agricultural & Extension Ed,0143,PHD,11,summer2003.xlsx,summer,2003,1,28
College of Agriculture-Agricultural & Extension Ed,0143,PHD,13,fall2003.xlsx,fall,2003,2,29
College of Agriculture-Agricultural & Extension Ed,0143,PHD,9,spring2004.xlsx,spring,2004,0,30
College of Agriculture-Agricultural & Extension Ed,0143,PHD,9,summer2004.xlsx,summer,2004,1,31
College of Agriculture-Agricultural & Extension Ed,0143,PHD,7,fall2004.xlsx,fall,2004,2,32
College of Agriculture-Agricultural & Extension Ed,0143,PHD,8,spring2005.xlsx,spring,2005,0,33
College of Agriculture-Agricultural & Extension Ed,0143,PHD,4,summer2005.xlsx,summer,2005,1,34
College of Agriculture-Agricultural & Extension Ed,0143,PHD,6,fall2005.xlsx,fall,2005,2,35
College of Agriculture-Agricultural & Extension Ed,0143,PHD,6,spring2006.xlsx,spring,2006,0,36
College of Agriculture-Agricultural & Extension Ed,0143,PHD,3,summer2006.xlsx,summer,2006,1,37
College of Agriculture-Agricultural & Extension Ed,0143,PHD,7,fall2006.xlsx,fall,2006,2,38
College of Agriculture-Agricultural & Extension Ed,0143,PHD,7,spring2007.xlsx,spring,2007,0,39
College of Agriculture-Agricultural & Extension Ed,0143,PHD,2,summer2007.xlsx,summer,2007,1,40
College of Agriculture-Agricultural & Extension Ed,0143,PHD,4,fall2007.xlsx,fall,2007,2,41
College of Agriculture-Agricultural & Extension Ed,0143,PHD,3,spring2008.xlsx,spring,2008,0,42
College of Agriculture-Agricultural & Extension Ed,0143,PHD,2,summer2008.xlsx,summer,2008,1,43
College of Agriculture-Agricultural & Extension Ed,0143,PHD,3,fall2008.xlsx,fall,2008,2,44
College of Agriculture-Agricultural & Extension Ed,0143,PHD,2,spring2009.xlsx,spring,2009,0,45
College of Agriculture-Agricultural & Extension Ed,0143,PHD,1,summer2009.xlsx,summer,2009,1,46
College of Agriculture-Agricultural & Extension Ed,0143,PHD,3,fall2009.xlsx,fall,2009,2,47
College of Agriculture-Agricultural & Extension Ed,0143,PHD,2,spring2010.xlsx,spring,2010,0,48
College of Agriculture-Agricultural & Extension Ed,0143,PHD,2,summer2010.xlsx,summer,2010,1,49
College of Agriculture-Agricultural & Extension Ed,0143,PHD,1,fall2010.xlsx,fall,2010,2,50
College of Agriculture-Agricultural & Extension Ed,0143,PHD,1,spring2011.xlsx,spring,2011,0,51
College of Agriculture-Agricultural & Extension Ed,0143,PHD,1,summer2011.xlsx,summer,2011,1,52
College of Agriculture-Agricultural Economics,0171,PHD,40,summer1994.xlsx,summer,1994,1,1
College of Agriculture-Agricultural Economics,0171,PHD,55,fall1994.xlsx,fall,1994,2,2
College of Agriculture-Agricultural Economics,0171,PHD,50,spring1995.xlsx,spring,1995,0,3
College of Agriculture-Agricultural Economics,0171,PHD,43,summer1995.xlsx,summer,1995,1,4
College of Agriculture-Agricultural Economics,0171,PHD,49,fall1995.xlsx,fall,1995,2,5
College of Agriculture-Agricultural Economics,0171,PHD,49,spring1996.xlsx,spring,1996,0,6
College of Agriculture-Agricultural Economics,0171,PHD,40,summer1996.xlsx,summer,1996,1,7
College of Agriculture-Agricultural Economics,0171,PHD,48,fall1996.xlsx,fall,1996,2,8
College of Agriculture-Agricultural Economics,0171,PHD,44,spring1997.xlsx,spring,1997,0,9
College of Agriculture-Agricultural Economics,0171,PHD,40,summer1997.xlsx,summer,1997,1,10
College of Agriculture-Agricultural Economics,0171,PHD,41,fall1997.xlsx,fall,1997,2,11
College of Agriculture-Agricultural Economics,0171,PHD,36,spring1998.xlsx,spring,1998,0,12
College of Agriculture-Agricultural Economics,0171,PHD,32,summer1998.xlsx,summer,1998,1,13
College of Agriculture-Agricultural Economics,0171,PHD,42,fall1998.xlsx,fall,1998,2,14
College of Agriculture-Agricultural Economics,0171,PHD,44,spring1999.xlsx,spring,1999,0,15
College of Agriculture-Agricultural Economics,0171,PHD,34,summer1999.xlsx,summer,1999,1,16
College of Agriculture-Agricultural Economics,0171,PHD,41,fall1999.xlsx,fall,1999,2,17
College of Agriculture-Agricultural Economics,0171,PHD,39,spring2000.xlsx,spring,2000,0,18
College of Agriculture-Agricultural Economics,0171,PHD,30,summer2000.xlsx,summer,2000,1,19
College of Agriculture-Agricultural Economics,0171,PHD,38,fall2000.xlsx,fall,2000,2,20
College of Agriculture-Agricultural Economics,0171,PHD,39,spring2001.xlsx,spring,2001,0,21
College of Agriculture-Agricultural Economics,0171,PHD,32,summer2001.xlsx,summer,2001,1,22
College of Agriculture-Agricultural Economics,0171,PHD,37,fall2001.xlsx,fall,2001,2,23
College of Agriculture-Agricultural Economics,0171,PHD,36,spring2002.xlsx,spring,2002,0,24
College of Agriculture-Agricultural Economics,0171,PHD,31,summer2002.xlsx,summer,2002,1,25
College of Agriculture-Agricultural Economics,0171,PHD,34,fall2002.xlsx,fall,2002,2,26
College of Agriculture-Agricultural Economics,0171,PHD,37,spring2003.xlsx,spring,2003,0,27
College of Agriculture-Agricultural Economics,0171,PHD,30,summer2003.xlsx,summer,2003,1,28
College of Agriculture-Agricultural Economics,0171,PHD,31,fall2003.xlsx,fall,2003,2,29
College of Agriculture-Agricultural Economics,0171,PHD,30,spring2004.xlsx,spring,2004,0,30
College of Agriculture-Agricultural Economics,0171,PHD,30,summer2004.xlsx,summer,2004,1,31
College of Agriculture-Agricultural Economics,0171,PHD,33,fall2004.xlsx,fall,2004,2,32
College of Agriculture-Agricultural Economics,0171,PHD,34,spring2005.xlsx,spring,2005,0,33
College of Agriculture-Agricultural Economics,0171,PHD,28,summer2005.xlsx,summer,2005,1,34
College of Agriculture-Agricultural Economics,0171,PHD,41,fall2005.xlsx,fall,2005,2,35
College of Agriculture-Agricultural Economics,0171,PHD,39,spring2006.xlsx,spring,2006,0,36
College of Agriculture-Agricultural Economics,0171,PHD,29,summer2006.xlsx,summer,2006,1,37
College of Agriculture-Agricultural Economics,0171,PHD,35,fall2006.xlsx,fall,2006,2,38
College of Agriculture-Agricultural Economics,0171,PHD,37,spring2007.xlsx,spring,2007,0,39
College of Agriculture-Agricultural Economics,0171,PHD,30,summer2007.xlsx,summer,2007,1,40
College of Agriculture-Agricultural Economics,0171,PHD,38,fall2007.xlsx,fall,2007,2,41
College of Agriculture-Agricultural Economics,0171,PHD,40,spring2008.xlsx,spring,2008,0,42
College of Agriculture-Agricultural Economics,0171,PHD,35,summer2008.xlsx,summer,2008,1,43
College of Agriculture-Agricultural Economics,0171,PHD,46,fall2008.xlsx,fall,2008,2,44
College of Agriculture-Agricultural Economics,0171,PHD,45,spring2009.xlsx,spring,2009,0,45
College of Agriculture-Agricultural Economics,0171,PHD,32,summer2009.xlsx,summer,2009,1,46
College of Agriculture-Agricultural Economics,0171,PHD,24,fall2009.xlsx,fall,2009,2,47
College of Agriculture-Agricultural Economics,0171,PHD,21,spring2010.xlsx,spring,2010,0,48
College of Agriculture-Agricultural Economics,0171,PHD,16,summer2010.xlsx,summer,2010,1,49
College of Agriculture-Agricultural Economics,0171,PHD,20,fall2010.xlsx,fall,2010,2,50
College of Agriculture-Agricultural Economics,0171,PHD,19,spring2011.xlsx,spring,2011,0,51
College of Agriculture-Agricultural Economics,0171,PHD,11,summer2011.xlsx,summer,2011,1,52
