"Michigan State University
Office of the Registrar",,,,,,,,,,,,,,
Students by Major - Graduate,,,,,,,,,,,,,,
FALL 2005,,,,,,,,,,,,,,
,,,Total Students,,,,Masters,,,,Doctoral,,,
,,,Total,Women,Men,,Total,Women,Men,,Total,Women,Men,
Agriculture and Natural Resources,,,,,,,,,,,,,,
  Agricultural & Extension Ed,0140,MS,1,1,0,,1,1,0,,0,0,0,
  Agricultural & Extension Ed,0143,PHD,6,2,4,,0,0,0,,6,2,4,
  Agricultural Economics,0170,MS,29,15,14,,29,15,14,,0,0,0,
  Agricultural Economics,0171,PHD,41,15,26,,0,0,0,,41,15,26,
  Agr Tech & Systems Mgmt,0215,PHD,1,0,1,,0,0,0,,1,0,1,
  Animal Science,0290,MS,12,10,2,,12,10,2,,0,0,0,
  Animal Science,0291,PHD,20,10,10,,0,0,0,,20,10,10,
  Plant Breeding & Genetics-CSS,0320,MS,5,3,2,,5,3,2,,0,0,0,
  Plant Breeding & Genetics-CSS,0321,PHD,7,5,2,,0,0,0,,7,5,2,
  Crop and Soil Sciences,0330,MS,17,5,12,,17,5,12,,0,0,0,
  Crop and Soil Sciences,0331,PHD,22,5,17,,0,0,0,,22,5,17,
  Fisheries and Wildlife,0346,MS,40,31,9,,40,31,9,,0,0,0,
  Fisheries and Wildlife,0347,PHD,57,25,32,,0,0,0,,57,25,32,
  Food Science,0354,MS,9,5,4,,9,5,4,,0,0,0,
  Food Science,0355,PHD,17,11,6,,0,0,0,,17,11,6,
  Plant Breeding & Genetics-For,0374,PHD,1,0,1,,0,0,0,,1,0,1,
  Forestry,0378,MS,13,4,9,,13,4,9,,0,0,0,
  Forestry,0379,PHD,22,5,17,,0,0,0,,22,5,17,
  Plant Breeding & Genetics-Hrt,0398,PHD,4,3,1,,0,0,0,,4,3,1,
  Horticulture,0402,MS,12,4,8,,12,4,8,,0,0,0,
  Horticulture,0403,PHD,7,4,3,,0,0,0,,7,4,3,
  Packaging,0409,MS,45,14,31,,45,14,31,,0,0,0,
  Resource Development,0443,MS,7,6,1,,7,6,1,,0,0,0,
  Resource Development,0444,PHD,5,2,3,,0,0,0,,5,2,3,
  Resource Dev - Urban Studies,0449,PHD,1,0,1,,0,0,0,,1,0,1,
  Animal Sci-Envir Toxicology,0472,PHD,1,1,0,,0,0,0,,1,1,0,
  Crop&Soil Sci-Envir Toxicology,0473,PHD,6,2,4,,0,0,0,,6,2,4,
  Food Science-Envir Toxicology,0474,PHD,2,1,1,,0,0,0,,2,1,1,
  Resource Dev-Envir Toxicology,0476,PHD,1,1,0,,0,0,0,,1,1,0,
  Packaging,0486,PHD,20,11,9,,0,0,0,,20,11,9,
"  Park, Recreation & Tourism Res",0495,MS,3,1,2,,3,1,2,,0,0,0,
"  Park, Recreation & Tourism Res",0496,PHD,21,14,7,,0,0,0,,21,14,7,
  Biosystems Engineering,0501,PHD,9,4,5,,0,0,0,,9,4,5,
  Biosystems Engineering,0502,MS,10,4,6,,10,4,6,,0,0,0,
  Food Science,0513,PHD,1,1,0,,0,0,0,,1,1,0,
  Packaging,0527,MS,28,6,22,,28,6,22,,0,0,0,
  Plant Pathology,0531,MS,8,4,4,,8,4,4,,0,0,0,
  Plant Pathology,0532,PHD,8,6,2,,0,0,0,,8,6,2,
  Entomology,0536,MS,11,4,7,,11,4,7,,0,0,0,
  Entomology,0537,PHD,14,7,7,,0,0,0,,14,7,7,
  Integrated Pest Management,0538,MS,1,0,1,,1,0,1,,0,0,0,
