k,probability,numemployees
0.0,0.0123,100.0
1.0,0.0314,100.0
2.0,0.0359,100.0
3.0,0.0423,100.0
4.0,0.0426,100.0
5.0,0.0455,100.0
6.0,0.0477,100.0
7.0,0.0515,100.0
8.0,0.0524,100.0
9.0,0.055,100.0
10.0,0.0511,100.0
11.0,0.0561,100.0
12.0,0.0547,100.0
13.0,0.0507,100.0
14.0,0.0572,100.0
15.0,0.0559,100.0
16.0,0.0542,100.0
17.0,0.0535,100.0
18.0,0.0536,100.0
19.0,0.0964,100.0
20.0,0.0,100.0
0.0,0.0082,200.0
1.0,0.0275,200.0
2.0,0.0375,200.0
3.0,0.0411,200.0
4.0,0.0443,200.0
5.0,0.0465,200.0
6.0,0.0481,200.0
7.0,0.048,200.0
8.0,0.0485,200.0
9.0,0.0511,200.0
10.0,0.0542,200.0
11.0,0.0531,200.0
12.0,0.054,200.0
13.0,0.0557,200.0
14.0,0.0529,200.0
15.0,0.0568,200.0
16.0,0.0553,200.0
17.0,0.0541,200.0
18.0,0.055,200.0
19.0,0.1081,200.0
20.0,0.0,200.0
0.0,0.009,300.0
1.0,0.0263,300.0
2.0,0.0337,300.0
3.0,0.0438,300.0
4.0,0.0417,300.0
5.0,0.048,300.0
6.0,0.0462,300.0
7.0,0.0475,300.0
8.0,0.0508,300.0
9.0,0.0509,300.0
10.0,0.0525,300.0
11.0,0.0549,300.0
12.0,0.0506,300.0
13.0,0.0525,300.0
14.0,0.0581,300.0
15.0,0.0609,300.0
16.0,0.0563,300.0
17.0,0.0529,300.0
18.0,0.0553,300.0
19.0,0.1081,300.0
20.0,0.0,300.0
0.0,0.008,400.0
1.0,0.0252,400.0
2.0,0.0377,400.0
3.0,0.0384,400.0
4.0,0.0425,400.0
5.0,0.0418,400.0
6.0,0.0452,400.0
7.0,0.0483,400.0
8.0,0.0495,400.0
9.0,0.0507,400.0
10.0,0.0518,400.0
11.0,0.0486,400.0
12.0,0.0551,400.0
13.0,0.0576,400.0
14.0,0.0593,400.0
15.0,0.0543,400.0
16.0,0.0577,400.0
17.0,0.0563,400.0
18.0,0.0589,400.0
19.0,0.1131,400.0
20.0,0.0,400.0
0.0,0.0078,500.0
1.0,0.0273,500.0
2.0,0.0363,500.0
3.0,0.045,500.0
4.0,0.0429,500.0
5.0,0.0446,500.0
6.0,0.046,500.0
7.0,0.05,500.0
8.0,0.0473,500.0
9.0,0.0502,500.0
10.0,0.0492,500.0
11.0,0.0504,500.0
12.0,0.0535,500.0
13.0,0.0536,500.0
14.0,0.0592,500.0
15.0,0.0541,500.0
16.0,0.0567,500.0
17.0,0.057,500.0
18.0,0.0608,500.0
19.0,0.1081,500.0
20.0,0.0,500.0
