k,probability,numemployees
0.0,0.562,100.0
1.0,0.0559,100.0
2.0,0.0374,100.0
3.0,0.0319,100.0
4.0,0.029,100.0
5.0,0.0331,100.0
6.0,0.0331,100.0
7.0,0.0441,100.0
8.0,0.0409,100.0
9.0,0.0443,100.0
10.0,0.039,100.0
11.0,0.0241,100.0
12.0,0.0133,100.0
13.0,0.0077,100.0
14.0,0.0033,100.0
15.0,0.0008,100.0
16.0,0.0001,100.0
17.0,0.0,100.0
18.0,0.0,100.0
19.0,0.0,100.0
20.0,0.0,100.0
0.0,0.5965,200.0
1.0,0.0418,200.0
2.0,0.0274,200.0
3.0,0.0215,200.0
4.0,0.0227,200.0
5.0,0.0258,200.0
6.0,0.0297,200.0
7.0,0.0365,200.0
8.0,0.0436,200.0
9.0,0.0424,200.0
10.0,0.0421,200.0
11.0,0.0316,200.0
12.0,0.0226,200.0
13.0,0.0091,200.0
14.0,0.005,200.0
15.0,0.0012,200.0
16.0,0.0005,200.0
17.0,0.0,200.0
18.0,0.0,200.0
19.0,0.0,200.0
20.0,0.0,200.0
0.0,0.6133,300.0
1.0,0.0336,300.0
2.0,0.0191,300.0
3.0,0.0193,300.0
4.0,0.0166,300.0
5.0,0.0231,300.0
6.0,0.0282,300.0
7.0,0.0342,300.0
8.0,0.0422,300.0
9.0,0.0464,300.0
10.0,0.0459,300.0
11.0,0.0365,300.0
12.0,0.0221,300.0
13.0,0.0105,300.0
14.0,0.0066,300.0
15.0,0.0018,300.0
16.0,0.0006,300.0
17.0,0.0,300.0
18.0,0.0,300.0
19.0,0.0,300.0
20.0,0.0,300.0
0.0,0.6207,400.0
1.0,0.0255,400.0
2.0,0.0201,400.0
3.0,0.0168,400.0
4.0,0.0149,400.0
5.0,0.0195,400.0
6.0,0.0263,400.0
7.0,0.0341,400.0
8.0,0.0453,400.0
9.0,0.0514,400.0
10.0,0.0494,400.0
11.0,0.0335,400.0
12.0,0.0228,400.0
13.0,0.0118,400.0
14.0,0.0061,400.0
15.0,0.0014,400.0
16.0,0.0004,400.0
17.0,0.0,400.0
18.0,0.0,400.0
19.0,0.0,400.0
20.0,0.0,400.0
0.0,0.6313,500.0
1.0,0.0261,500.0
2.0,0.0175,500.0
3.0,0.0135,500.0
4.0,0.0122,500.0
5.0,0.0192,500.0
6.0,0.0219,500.0
7.0,0.031,500.0
8.0,0.0471,500.0
9.0,0.0523,500.0
10.0,0.0438,500.0
11.0,0.0401,500.0
12.0,0.0242,500.0
13.0,0.0131,500.0
14.0,0.0042,500.0
15.0,0.002,500.0
16.0,0.0004,500.0
17.0,0.0001,500.0
18.0,0.0,500.0
19.0,0.0,500.0
20.0,0.0,500.0
