k,probability,timeamount
0.0,0.031435,3.0
1.0,0.13472,3.0
2.0,0.833845,3.0
3.0,0.0,3.0
0.0,0.005565,40.0
1.0,0.017825,40.0
2.0,0.023695,40.0
3.0,0.025755,40.0
4.0,0.026825,40.0
5.0,0.026425,40.0
6.0,0.027345,40.0
7.0,0.027985,40.0
8.0,0.0282,40.0
9.0,0.02879,40.0
10.0,0.02911,40.0
11.0,0.028855,40.0
12.0,0.0296,40.0
13.0,0.02995,40.0
14.0,0.029985,40.0
15.0,0.030095,40.0
16.0,0.029965,40.0
17.0,0.029855,40.0
18.0,0.030105,40.0
19.0,0.03041,40.0
20.0,0.02895,40.0
21.0,0.02866,40.0
22.0,0.02827,40.0
23.0,0.02749,40.0
24.0,0.027725,40.0
25.0,0.027195,40.0
26.0,0.025775,40.0
27.0,0.025135,40.0
28.0,0.02405,40.0
29.0,0.02352,40.0
30.0,0.022515,40.0
31.0,0.021025,40.0
32.0,0.02002,40.0
33.0,0.018245,40.0
34.0,0.017495,40.0
35.0,0.016265,40.0
36.0,0.014725,40.0
37.0,0.01428,40.0
38.0,0.014175,40.0
39.0,0.038145,40.0
40.0,0.0,40.0
0.0,0.00203,200.0
1.0,0.00612,200.0
2.0,0.008435,200.0
3.0,0.00902,200.0
4.0,0.009725,200.0
5.0,0.00945,200.0
6.0,0.009625,200.0
7.0,0.009315,200.0
8.0,0.009435,200.0
9.0,0.009185,200.0
10.0,0.00929,200.0
11.0,0.00928,200.0
12.0,0.00945,200.0
13.0,0.008875,200.0
14.0,0.009845,200.0
15.0,0.00927,200.0
16.0,0.00943,200.0
17.0,0.009105,200.0
18.0,0.00929,200.0
19.0,0.00921,200.0
20.0,0.00884,200.0
21.0,0.009015,200.0
22.0,0.00886,200.0
23.0,0.009345,200.0
24.0,0.00949,200.0
25.0,0.00901,200.0
26.0,0.00888,200.0
27.0,0.00885,200.0
28.0,0.00946,200.0
29.0,0.00886,200.0
30.0,0.009,200.0
31.0,0.009275,200.0
32.0,0.0093,200.0
33.0,0.009025,200.0
34.0,0.00951,200.0
35.0,0.009275,200.0
36.0,0.009165,200.0
37.0,0.009415,200.0
38.0,0.00903,200.0
39.0,0.009245,200.0
40.0,0.00903,200.0
41.0,0.009095,200.0
42.0,0.009075,200.0
43.0,0.00903,200.0
44.0,0.00927,200.0
45.0,0.008945,200.0
46.0,0.009185,200.0
47.0,0.008785,200.0
48.0,0.009095,200.0
49.0,0.009155,200.0
50.0,0.00907,200.0
51.0,0.008835,200.0
52.0,0.00886,200.0
53.0,0.0093,200.0
54.0,0.00831,200.0
55.0,0.00865,200.0
56.0,0.00869,200.0
57.0,0.00906,200.0
58.0,0.008365,200.0
59.0,0.00853,200.0
60.0,0.008495,200.0
61.0,0.00836,200.0
62.0,0.008485,200.0
63.0,0.008635,200.0
64.0,0.008015,200.0
65.0,0.008395,200.0
66.0,0.00824,200.0
67.0,0.0081,200.0
68.0,0.00803,200.0
69.0,0.00801,200.0
70.0,0.007705,200.0
71.0,0.007805,200.0
72.0,0.00749,200.0
73.0,0.00767,200.0
74.0,0.007455,200.0
75.0,0.00744,200.0
76.0,0.00732,200.0
77.0,0.007275,200.0
78.0,0.007225,200.0
79.0,0.007135,200.0
80.0,0.00702,200.0
81.0,0.00684,200.0
82.0,0.007155,200.0
83.0,0.006825,200.0
84.0,0.006885,200.0
85.0,0.006235,200.0
86.0,0.00662,200.0
87.0,0.00652,200.0
88.0,0.00622,200.0
89.0,0.006085,200.0
90.0,0.00596,200.0
91.0,0.00574,200.0
92.0,0.005965,200.0
93.0,0.005315,200.0
94.0,0.00573,200.0
95.0,0.005315,200.0
96.0,0.00515,200.0
97.0,0.005125,200.0
98.0,0.00528,200.0
99.0,0.005,200.0
100.0,0.00475,200.0
101.0,0.00487,200.0
102.0,0.00497,200.0
103.0,0.00447,200.0
104.0,0.00465,200.0
105.0,0.00452,200.0
106.0,0.00432,200.0
107.0,0.004195,200.0
108.0,0.00418,200.0
109.0,0.004035,200.0
110.0,0.003965,200.0
111.0,0.003915,200.0
112.0,0.00377,200.0
113.0,0.003575,200.0
114.0,0.003835,200.0
115.0,0.00365,200.0
116.0,0.0032,200.0
117.0,0.003345,200.0
118.0,0.003015,200.0
119.0,0.003315,200.0
