k,probability,timeamount
0.0,0.693145,3.0
1.0,0.23038,3.0
2.0,0.076475,3.0
3.0,0.0,3.0
0.0,0.34774,40.0
1.0,0.01622,40.0
2.0,0.015645,40.0
3.0,0.02316,40.0
4.0,0.03396,40.0
5.0,0.0456,40.0
6.0,0.055475,40.0
7.0,0.05961,40.0
8.0,0.056755,40.0
9.0,0.047195,40.0
10.0,0.036795,40.0
11.0,0.02681,40.0
12.0,0.018205,40.0
13.0,0.013775,40.0
14.0,0.011255,40.0
15.0,0.0099,40.0
16.0,0.01006,40.0
17.0,0.01144,40.0
18.0,0.01228,40.0
19.0,0.01382,40.0
20.0,0.015855,40.0
21.0,0.01757,40.0
22.0,0.018155,40.0
23.0,0.018615,40.0
24.0,0.01692,40.0
25.0,0.01493,40.0
26.0,0.01173,40.0
27.0,0.008915,40.0
28.0,0.00555,40.0
29.0,0.00327,40.0
30.0,0.00163,40.0
31.0,0.000695,40.0
32.0,0.000305,40.0
33.0,0.00011,40.0
34.0,4.0e-5,40.0
35.0,5.0e-6,40.0
36.0,5.0e-6,40.0
37.0,0.0,40.0
38.0,0.0,40.0
39.0,0.0,40.0
40.0,0.0,40.0
0.0,0.327745,200.0
1.0,0.01034,200.0
2.0,0.00578,200.0
3.0,0.0043,200.0
4.0,0.00312,200.0
5.0,0.002875,200.0
6.0,0.002235,200.0
7.0,0.002105,200.0
8.0,0.00198,200.0
9.0,0.001825,200.0
10.0,0.001555,200.0
11.0,0.001615,200.0
12.0,0.001685,200.0
13.0,0.00167,200.0
14.0,0.001835,200.0
15.0,0.002,200.0
16.0,0.00242,200.0
17.0,0.00269,200.0
18.0,0.00279,200.0
19.0,0.003475,200.0
20.0,0.00404,200.0
21.0,0.004475,200.0
22.0,0.00474,200.0
23.0,0.005125,200.0
24.0,0.00565,200.0
25.0,0.006075,200.0
26.0,0.006675,200.0
27.0,0.007315,200.0
28.0,0.007595,200.0
29.0,0.00903,200.0
30.0,0.01005,200.0
31.0,0.01217,200.0
32.0,0.013215,200.0
33.0,0.015105,200.0
34.0,0.01665,200.0
35.0,0.018585,200.0
36.0,0.019415,200.0
37.0,0.021335,200.0
38.0,0.021515,200.0
39.0,0.02122,200.0
40.0,0.02143,200.0
41.0,0.020125,200.0
42.0,0.01923,200.0
43.0,0.01701,200.0
44.0,0.01466,200.0
45.0,0.012985,200.0
46.0,0.01111,200.0
